Freq.	V(vout)/(V(v1)-V(v2))
2.57039578276884e+004	(4.22991348220529e+001dB,-1.79991857759684e+002°)
2.63026799189536e+004	(4.22991365285602e+001dB,-1.79991668429445e+002°)
2.69153480392689e+004	(4.22991460913386e+001dB,-1.79991474703927e+002°)
2.75422870333814e+004	(4.22991511653757e+001dB,-1.79991276518853e+002°)
2.81838293126443e+004	(4.22991521367081e+001dB,-1.79991073717069e+002°)
2.88403150312658e+004	(4.22991494097417e+001dB,-1.79990866167671e+002°)
2.95120922666636e+004	(4.22991561217604e+001dB,-1.79990653910733e+002°)
3.01995172040199e+004	(4.22991600016501e+001dB,-1.79990436697571e+002°)
3.09029543251357e+004	(4.22991615125470e+001dB,-1.79990214449875e+002°)
3.16227766016835e+004	(4.22991611405549e+001dB,-1.79989987089399e+002°)
3.23593656929626e+004	(4.22991593928870e+001dB,-1.79989754433132e+002°)
3.31131121482588e+004	(4.22991695158285e+001dB,-1.79989516392115e+002°)
3.38844156139200e+004	(4.22991666376509e+001dB,-1.79989272884208e+002°)
3.46736850452529e+004	(4.22991640538068e+001dB,-1.79989023741653e+002°)
3.54813389233573e+004	(4.22991623754335e+001dB,-1.79988768834217e+002°)
3.63078054770098e+004	(4.22991749526087e+001dB,-1.79988508127222e+002°)
3.71535229097169e+004	(4.22991643122531e+001dB,-1.79988241309162e+002°)
3.80189396320558e+004	(4.22991692942472e+001dB,-1.79987968353049e+002°)
3.89045144994277e+004	(4.22991779162986e+001dB,-1.79987689138550e+002°)
3.98107170553494e+004	(4.22991782286632e+001dB,-1.79987403517662e+002°)
4.07380277804109e+004	(4.22991837463015e+001dB,-1.79987111247533e+002°)
4.16869383470332e+004	(4.22991953065619e+001dB,-1.79986812277557e+002°)
4.26579518801589e+004	(4.22991883581379e+001dB,-1.79986506465409e+002°)
4.36515832240162e+004	(4.22992019598357e+001dB,-1.79986193609116e+002°)
4.46683592150959e+004	(4.22992116437778e+001dB,-1.79985873618723e+002°)
4.57088189614871e+004	(4.22992056991748e+001dB,-1.79985546264664e+002°)
4.67735141287194e+004	(4.22992233181031e+001dB,-1.79985211297384e+002°)
4.78630092322634e+004	(4.22992274577585e+001dB,-1.79984868812375e+002°)
4.89778819368442e+004	(4.22992319809569e+001dB,-1.79984518413426e+002°)
5.01187233627268e+004	(4.22992380895973e+001dB,-1.79984159945539e+002°)
5.12861383991360e+004	(4.22992470426852e+001dB,-1.79983793358857e+002°)
5.24807460249768e+004	(4.22992474388809e+001dB,-1.79983418369918e+002°)
5.37031796370248e+004	(4.22992533703882e+001dB,-1.79983034900305e+002°)
5.49540873857620e+004	(4.22992662735194e+001dB,-1.79982642586723e+002°)
5.62341325190344e+004	(4.22992749416234e+001dB,-1.79982241407242e+002°)
5.75439937337152e+004	(4.22992809451272e+001dB,-1.79981831050088e+002°)
5.88843655355584e+004	(4.22992986443552e+001dB,-1.79981411440801e+002°)
6.02559586074352e+004	(4.22992916164353e+001dB,-1.79980982186888e+002°)
