Freq.	-V(n005)/I(V1)
4.08262986973579e+004	(9.60144984058134e+001dB,1.22176706281251e+000°)
4.09204130356948e+004	(9.60233682892267e+001dB,1.22586999185113e+000°)
4.10147443299880e+004	(9.60320524422043e+001dB,1.22948372382842e+000°)
4.11092930803728e+004	(9.60405559822663e+001dB,1.23263575274923e+000°)
4.12040597881372e+004	(9.60488838676576e+001dB,1.23535199454971e+000°)
4.12990449557249e+004	(9.60570409017922e+001dB,1.23765688492363e+000°)
4.13942490867377e+004	(9.60650317376984e+001dB,1.23957347061799e+000°)
4.14896726859385e+004	(9.60728608824438e+001dB,1.24112349465925e+000°)
4.15853162592538e+004	(9.60805327015249e+001dB,1.24232747593838e+000°)
4.16811803137761e+004	(9.60880514232030e+001dB,1.24320478355141e+000°)
4.17772653577672e+004	(9.60954211427778e+001dB,1.24377370626321e+000°)
4.18735719006604e+004	(9.61026458267858e+001dB,1.24405151743542e+000°)
4.19701004530635e+004	(9.61097293171176e+001dB,1.24405453573463e+000°)
4.20668515267612e+004	(9.61166753350458e+001dB,1.24379818191376e+000°)
4.21638256347180e+004	(9.61234874851599e+001dB,1.24329703193826e+000°)
4.22610232910811e+004	(9.61301692592029e+001dB,1.24256486670921e+000°)
4.23584450111827e+004	(9.61367240398089e+001dB,1.24161471861678e+000°)
4.24560913115431e+004	(9.61431551041375e+001dB,1.24045891514085e+000°)
4.25539627098733e+004	(9.61494656274055e+001dB,1.23910911970001e+000°)
4.26520597250776e+004	(9.61556586863146e+001dB,1.23757636993536e+000°)
4.27503828772567e+004	(9.61617372623766e+001dB,1.23587111360231e+000°)
4.28489326877101e+004	(9.61677042451344e+001dB,1.23400324223137e+000°)
4.29477096789392e+004	(9.61735624352819e+001dB,1.23198212270709e+000°)
4.30467143746497e+004	(9.61793145476834e+001dB,1.22981662690382e+000°)
4.31459472997546e+004	(9.61849632142941e+001dB,1.22751515950735e+000°)
4.32454089803770e+004	(9.61905109869830e+001dB,1.22508568414195e+000°)
4.33450999438529e+004	(9.61959603402611e+001dB,1.22253574791439e+000°)
4.34450207187338e+004	(9.62013136739174e+001dB,1.21987250447823e+000°)
4.35451718347898e+004	(9.62065733155630e+001dB,1.21710273571492e+000°)
4.36455538230120e+004	(9.62117415230880e+001dB,1.21423287212108e+000°)
4.37461672156159e+004	(9.62168204870321e+001dB,1.21126901198554e+000°)
4.38470125460435e+004	(9.62218123328719e+001dB,1.20821693943374e+000°)
4.39480903489668e+004	(9.62267191232275e+001dB,1.20508214141167e+000°)
4.40494011602902e+004	(9.62315428599905e+001dB,1.20186982367692e+000°)
4.41509455171535e+004	(9.62362854863759e+001dB,1.19858492585944e+000°)
4.42527239579350e+004	(9.62409488889010e+001dB,1.19523213565063e+000°)
4.43547370222536e+004	(9.62455348992928e+001dB,1.19181590217534e+000°)
4.44569852509725e+004	(9.62500452963267e+001dB,1.18834044859753e+000°)
4.45594691862016e+004	(9.62544818075994e+001dB,1.18480978400733e+000°)
4.46621893713007e+004	(9.62588461112369e+001dB,1.18122771463360e+000°)
4.47651463508818e+004	(9.62631398375417e+001dB,1.17759785442351e+000°)
4.48683406708126e+004	(9.62673645705794e+001dB,1.17392363502785e+000°)
4.49717728782191e+004	(9.62715218497085e+001dB,1.17020831522800e+000°)
4.50754435214886e+004	(9.62756131710548e+001dB,1.16645498983850e+000°)
4.51793531502726e+004	(9.62796399889322e+001dB,1.16266659811676e+000°)
4.52835023154894e+004	(9.62836037172120e+001dB,1.15884593170933e+000°)
4.53878915693278e+004	(9.62875057306429e+001dB,1.15499564216244e+000°)
4.54925214652490e+004	(9.62913473661236e+001dB,1.15111824802258e+000°)
4.55973925579903e+004	(9.62951299239288e+001dB,1.14721614155148e+000°)
4.57025054035679e+004	(9.62988546688917e+001dB,1.14329159507783e+000°)
4.58078605592796e+004	(9.63025228315434e+001dB,1.13934676700734e+000°)
4.59134585837080e+004	(9.63061356092121e+001dB,1.13538370751070e+000°)
