Freq.	V(vo)
2.12339111439745e+004	(-3.87526101068218e+001dB,1.67470685116187e+002°)
2.12828603644863e+004	(-3.86687309630784e+001dB,1.67411279109753e+002°)
2.13319224246051e+004	(-3.85845405362355e+001dB,1.67351363555378e+002°)
2.13810975844531e+004	(-3.85000358590914e+001dB,1.67290931555512e+002°)
2.14303861047521e+004	(-3.84152139256687e+001dB,1.67229976086496e+002°)
2.14797882468249e+004	(-3.83300716905527e+001dB,1.67168489995673e+002°)
2.15293042725967e+004	(-3.82446060682161e+001dB,1.67106465998429e+002°)
2.15789344445965e+004	(-3.81588139323294e+001dB,1.67043896675139e+002°)
2.16286790259587e+004	(-3.80726921150573e+001dB,1.66980774468046e+002°)
2.16785382804240e+004	(-3.79862374063391e+001dB,1.66917091678035e+002°)
2.17285124723413e+004	(-3.78994465531550e+001dB,1.66852840461331e+002°)
2.17786018666686e+004	(-3.78123162587760e+001dB,1.66788012826094e+002°)
2.18288067289751e+004	(-3.77248431819983e+001dB,1.66722600628929e+002°)
2.18791273254418e+004	(-3.76370239363608e+001dB,1.66656595571284e+002°)
2.19295639228637e+004	(-3.75488550893462e+001dB,1.66589989195759e+002°)
2.19801167886504e+004	(-3.74603331615645e+001dB,1.66522772882297e+002°)
2.20307861908283e+004	(-3.73714546259190e+001dB,1.66454937844276e+002°)
2.20815723980414e+004	(-3.72822159067542e+001dB,1.66386475124481e+002°)
2.21324756795533e+004	(-3.71926133789850e+001dB,1.66317375590963e+002°)
2.21834963052480e+004	(-3.71026433672068e+001dB,1.66247629932778e+002°)
2.22346345456318e+004	(-3.70123021447865e+001dB,1.66177228655598e+002°)
2.22858906718345e+004	(-3.69215859329328e+001dB,1.66106162077194e+002°)
2.23372649556112e+004	(-3.68304908997464e+001dB,1.66034420322793e+002°)
2.23887576693430e+004	(-3.67390131592489e+001dB,1.65961993320280e+002°)
2.24403690860392e+004	(-3.66471487703906e+001dB,1.65888870795280e+002°)
2.24920994793385e+004	(-3.65548937360352e+001dB,1.65815042266071e+002°)
2.25439491235101e+004	(-3.64622440019228e+001dB,1.65740497038359e+002°)
2.25959182934559e+004	(-3.63691954556087e+001dB,1.65665224199887e+002°)
2.26480072647111e+004	(-3.62757439253792e+001dB,1.65589212614885e+002°)
2.27002163134462e+004	(-3.61818851791418e+001dB,1.65512450918348e+002°)
2.27525457164686e+004	(-3.60876149232910e+001dB,1.65434927510137e+002°)
2.28049957512233e+004	(-3.59929288015481e+001dB,1.65356630548903e+002°)
2.28575666957954e+004	(-3.58978223937745e+001dB,1.65277547945818e+002°)
2.29102588289106e+004	(-3.58022912147577e+001dB,1.65197667358113e+002°)
2.29630724299376e+004	(-3.57063307129690e+001dB,1.65116976182417e+002°)
2.30160077788886e+004	(-3.56099362692939e+001dB,1.65035461547878e+002°)
2.30690651564218e+004	(-3.55131031957316e+001dB,1.64953110309078e+002°)
2.31222448438419e+004	(-3.54158267340649e+001dB,1.64869909038711e+002°)
2.31755471231024e+004	(-3.53181020544996e+001dB,1.64785844020039e+002°)
2.32289722768068e+004	(-3.52199242542717e+001dB,1.64700901239100e+002°)
2.32825205882097e+004	(-3.51212883562218e+001dB,1.64615066376661e+002°)
2.33361923412192e+004	(-3.50221893073363e+001dB,1.64528324799922e+002°)
2.33899878203973e+004	(-3.49226219772547e+001dB,1.64440661553937e+002°)
2.34439073109625e+004	(-3.48225811567404e+001dB,1.64352061352765e+002°)
2.34979510987905e+004	(-3.47220615561167e+001dB,1.64262508570321e+002°)
2.35521194704161e+004	(-3.46210578036648e+001dB,1.64171987230931e+002°)
2.36064127130345e+004	(-3.45195644439837e+001dB,1.64080480999571e+002°)
2.36608311145032e+004	(-3.44175759363113e+001dB,1.63987973171781e+002°)
2.37153749633431e+004	(-3.43150866528050e+001dB,1.63894446663236e+002°)
2.37700445487403e+004	(-3.42120908767814e+001dB,1.63799883998972e+002°)
2.38248401605474e+004	(-3.41085828009129e+001dB,1.63704267302240e+002°)
2.38797620892854e+004	(-3.40045565253817e+001dB,1.63607578282984e+002°)
2.39348106261448e+004	(-3.39000060559884e+001dB,1.63509798225921e+002°)
2.39899860629875e+004	(-3.37949253022156e+001dB,1.63410907978217e+002°)
2.40452886923482e+004	(-3.36893080752433e+001dB,1.63310887936722e+002°)
2.41007188074359e+004	(-3.35831480859173e+001dB,1.63209718034776e+002°)
2.41562767021355e+004	(-3.34764389426668e+001dB,1.63107377728544e+002°)
2.42119626710095e+004	(-3.33691741493723e+001dB,1.63003845982870e+002°)
2.42677770092994e+004	(-3.32613471031801e+001dB,1.62899101256634e+002°)
2.43237200129273e+004	(-3.31529510922644e+001dB,1.62793121487582e+002°)
2.43797919784972e+004	(-3.30439792935330e+001dB,1.62685884076621e+002°)
2.44359932032973e+004	(-3.29344247702780e+001dB,1.62577365871543e+002°)
2.44923239853009e+004	(-3.28242804697677e+001dB,1.62467543150158e+002°)
2.45487846231680e+004	(-3.27135392207788e+001dB,1.62356391602823e+002°)
2.46053754162475e+004	(-3.26021937310688e+001dB,1.62243886314318e+002°)
2.46620966645781e+004	(-3.24902365847846e+001dB,1.62130001745071e+002°)
2.47189486688901e+004	(-3.23776602398077e+001dB,1.62014711711672e+002°)
