freq,vin,amp,pha,v1,v2
365148.3052764145,0.1,32.5,64.0,0.10065,4.22
403565.5042519344,0.1,31.4,56.0,0.1,3.7
446024.57102691394,0.1,30.2,52.0,0.0998,3.225
492950.7499123418,0.1,29.0,45.0,0.0993,2.8
544814.0251100125,0.1,27.7,40.0,0.09985,2.425
602133.8277898051,0.1,26.4,33.0,0.09945,2.075
665484.2383978481,0.1,25.1,28.0,0.0989,1.781
735499.7362987588,0.1,23.7,23.0,0.09835,1.5
812881.5543368908,0.1,22.3,15.0,0.09855,1.277
898404.7019600163,0.1,20.7,10.0,0.09985,1.079
992925.7272448346,0.1,19.0,4.0,0.09925,0.8935
1097391.295563989,0.1,17.5,-3.0,0.10035,0.743
1212847.6708134117,0.1,15.9,-10.0,0.09975,0.624
1340451.1941581583,0.1,14.4,-14.0,0.09945,0.524
1481479.8652455504,0.1,12.9,-21.0,0.0987,0.4345
1637346.1418760272,0.1,11.3,-29.0,0.0988,0.361
1809611.0863254739,0.1,9.9,-39.0,0.09875,0.2995
2000000.0000000002,0.1,7.8,-48.0,0.09815,0.2465
