freq,vin,amp,pha,v1,v2
9015.99442289585,0.1,42.2,176.0,0.0999,12.73
9964.565857300731,0.1,42.2,176.0,0.09965,12.725
11012.936351461456,0.1,42.2,175.0,0.09985,12.72
12171.605749635297,0.1,42.3,175.0,0.09885,12.72
13452.178583134668,0.1,42.3,175.0,0.09935,12.715
14867.48029428817,0.1,42.3,173.0,0.0993,12.71
16431.685688307174,0.1,42.3,172.0,0.09915,12.705
18160.46089955467,0.1,42.2,171.0,0.10005,12.765
20071.120294063407,0.1,42.2,170.0,0.10035,12.75
22182.799879745482,0.1,42.2,169.0,0.10035,12.705
24516.648961063805,0.1,42.1,169.0,0.10045,12.69
27096.041957663252,0.1,42.1,167.0,0.1,12.575
29946.812508408628,0.1,42.1,165.0,0.09985,12.63
33097.512205473286,0.1,42.2,165.0,0.099,12.59
36579.69654980384,0.1,42.1,163.0,0.09885,12.525
40428.24099191518,0.1,42.0,161.0,0.09925,12.465
44681.690223292346,0.1,42.0,159.0,0.0994,12.37
49382.64421668775,0.1,41.9,158.0,0.09935,12.28
54578.184881661226,0.1,41.8,155.0,0.0998,12.17
60320.34760848608,0.1,41.7,151.0,0.0995,11.94
66666.6424231188,0.1,41.6,149.0,0.0994,11.86
73680.62997280774,0.1,41.4,146.0,0.09905,11.66
81432.55811105885,0.1,41.2,142.0,0.09925,11.43
90000.06545761462,0.1,41.0,138.0,0.09995,11.145
99468.95897987149,0.1,40.7,135.0,0.0998,10.825
109934.07338352388,0.1,40.6,131.0,0.02645,0.9
121500.22091957006,0.1,40.2,125.0,0.0404,1.13
134283.24112037075,0.1,38.0,81.0,0.03415,2.4405
148411.16097828664,0.1,36.7,125.0,0.0342,1.924
164025.4771865314,0.1,36.0,102.0,0.02335,1.133
181282.57328440135,0.1,38.3,104.0,0.0989,8.14
200355.28590014015,0.1,37.7,100.0,0.09895,7.575
221434.63577798192,0.1,37.1,94.0,0.0986,7.025
244731.74092629927,0.1,36.2,88.0,0.09855,6.42
270479.93104777177,0.1,35.3,83.0,0.098,5.795
298937.0844284541,0.1,34.5,77.0,0.0307,1.17
330388.2106905791,0.1,33.5,71.0,0.09855,4.658
365148.3052764145,0.1,32.5,63.0,0.021,1.711
403565.5042519344,0.1,31.4,58.0,0.0991,3.68
446024.57102691394,0.1,30.3,52.0,0.0988,3.22
492950.7499123418,0.1,29.1,46.0,0.0985,2.805
544814.0251100125,0.1,27.8,40.0,0.0994,2.435
602133.8277898051,0.1,26.4,34.0,0.0993,2.095
665484.2383978481,0.1,25.1,28.0,0.09915,1.7745
735499.7362987588,0.1,23.6,22.0,0.0994,1.5115
812881.5543368908,0.1,22.2,15.0,0.09935,1.2795
898404.7019600163,0.1,20.7,10.0,0.0991,1.073
992925.7272448346,0.1,19.1,3.0,0.0986,0.894
1097391.295563989,0.1,17.6,-2.0,0.09805,0.7455
1212847.6708134117,0.1,16.0,-8.0,0.0988,0.627
1340451.1941581583,0.1,14.4,-15.0,0.0993,0.5215
1481479.8652455504,0.1,12.8,-21.0,0.09935,0.44
1637346.1418760272,0.1,11.3,-30.0,0.0991,0.3645
1809611.0863254739,0.1,9.7,-38.0,0.09845,0.303
2000000.0000000002,0.1,7.9,-46.0,0.09795,0.2475
