time	V(v2)	V(vout)
9.940743748736289e-007	-3.722005e-003	-8.747287e-003
1.002863437373629e-006	1.798901e-003	-7.461946e-003
1.011652499873629e-006	7.314323e-003	-6.013855e-003
1.020441562373629e-006	1.280744e-002	-4.409310e-003
1.026300937373629e-006	1.644886e-002	-3.257053e-003
1.032160312373628e-006	2.006799e-002	-2.042576e-003
1.035089999873628e-006	2.186766e-002	-1.413191e-003
1.038019687373628e-006	2.365991e-002	-7.697366e-004
1.040949374873628e-006	2.544416e-002	-1.127709e-004
1.043879062373628e-006	2.721978e-002	5.571184e-004
1.049738437373628e-006	3.074275e-002	1.933177e-003
1.058527499873628e-006	3.594762e-002	4.077928e-003
1.064386874873628e-006	3.935761e-002	5.553156e-003
1.070246249873628e-006	4.271426e-002	7.057521e-003
1.076105624873628e-006	4.601302e-002	8.584514e-003
1.079035312373628e-006	4.763930e-002	9.354386e-003
1.081964999873628e-006	4.924943e-002	1.012735e-002
1.084894687373628e-006	5.084287e-002	1.090253e-002
1.090754062373628e-006	5.397754e-002	1.245594e-002
1.099543124873628e-006	5.854109e-002	1.477999e-002
1.108332187373628e-006	6.292615e-002	1.707454e-002
1.114191562373628e-006	6.574374e-002	1.857542e-002
1.120050937373627e-006	6.847224e-002	2.004458e-002
1.122980624873627e-006	6.980191e-002	2.076496e-002
1.125910312373627e-006	7.110794e-002	2.147467e-002
1.128839999873627e-006	7.238987e-002	2.217280e-002
1.134699374873627e-006	7.487971e-002	2.353081e-002
1.143488437373627e-006	7.842319e-002	2.545928e-002
1.152277499873627e-006	8.172758e-002	2.723780e-002
1.158136874873627e-006	8.379266e-002	2.832987e-002
1.161066562373627e-006	8.478279e-002	2.884565e-002
1.166925937373627e-006	8.667654e-002	2.981336e-002
1.170692678445055e-006	8.783351e-002	3.039114e-002
1.174459419516484e-006	8.893982e-002	3.092814e-002
1.178226160587913e-006	8.999547e-002	3.142434e-002
1.181992901659341e-006	9.100046e-002	3.187975e-002
1.185759642730770e-006	9.195478e-002	3.229436e-002
1.189526383802198e-006	9.285845e-002	3.266818e-002
1.193293124873627e-006	9.371145e-002	3.300121e-002
1.196222812373627e-006	9.433802e-002	3.322867e-002
1.199152499873626e-006	9.493216e-002	3.342884e-002
