Freq.	V(vout)/V(v1)
2.13796208950223e+002	(2.68476764333012e+001dB,1.79951438872378e+002°)
2.18776162394955e+002	(2.68476763367241e+001dB,1.79950307738697e+002°)
2.23872113856834e+002	(2.68476762355960e+001dB,1.79949150257548e+002°)
2.29086765276777e+002	(2.68476761297017e+001dB,1.79947965815223e+002°)
2.34422881531992e+002	(2.68476760188167e+001dB,1.79946753783715e+002°)
2.39883291901949e+002	(2.68476759027059e+001dB,1.79945513520392e+002°)
2.45470891568503e+002	(2.68476757811231e+001dB,1.79944244367653e+002°)
2.51188643150958e+002	(2.68476756538099e+001dB,1.79942945652578e+002°)
2.57039578276886e+002	(2.68476755204971e+001dB,1.79941616686574e+002°)
2.63026799189538e+002	(2.68476753809013e+001dB,1.79940256765009e+002°)
2.69153480392691e+002	(2.68476752347263e+001dB,1.79938865166837e+002°)
2.75422870333816e+002	(2.68476750816624e+001dB,1.79937441154219e+002°)
2.81838293126445e+002	(2.68476749213849e+001dB,1.79935983972126e+002°)
2.88403150312660e+002	(2.68476747535537e+001dB,1.79934492847948e+002°)
2.95120922666638e+002	(2.68476745778131e+001dB,1.79932966991072e+002°)
3.01995172040201e+002	(2.68476743937899e+001dB,1.79931405592475e+002°)
3.09029543251358e+002	(2.68476742010941e+001dB,1.79929807824287e+002°)
3.16227766016837e+002	(2.68476739993165e+001dB,1.79928172839356e+002°)
3.23593656929628e+002	(2.68476737880298e+001dB,1.79926499770795e+002°)
3.31131121482590e+002	(2.68476735667851e+001dB,1.79924787731529e+002°)
3.38844156139202e+002	(2.68476733351138e+001dB,1.79923035813817e+002°)
3.46736850452531e+002	(2.68476730925242e+001dB,1.79921243088777e+002°)
3.54813389233575e+002	(2.68476728385016e+001dB,1.79919408605888e+002°)
3.63078054770101e+002	(2.68476725725073e+001dB,1.79917531392492e+002°)
3.71535229097172e+002	(2.68476722939769e+001dB,1.79915610453274e+002°)
3.80189396320560e+002	(2.68476720023200e+001dB,1.79913644769735e+002°)
3.89045144994280e+002	(2.68476716969176e+001dB,1.79911633299653e+002°)
3.98107170553496e+002	(2.68476713771224e+001dB,1.79909574976531e+002°)
4.07380277804112e+002	(2.68476710422553e+001dB,1.79907468709029e+002°)
4.16869383470335e+002	(2.68476706916068e+001dB,1.79905313380388e+002°)
4.26579518801592e+002	(2.68476703244326e+001dB,1.79903107847838e+002°)
4.36515832240165e+002	(2.68476699399541e+001dB,1.79900850941988e+002°)
4.46683592150962e+002	(2.68476695373557e+001dB,1.79898541466213e+002°)
4.57088189614874e+002	(2.68476691157834e+001dB,1.79896178196012e+002°)
4.67735141287197e+002	(2.68476686743430e+001dB,1.79893759878366e+002°)
4.78630092322637e+002	(2.68476682120985e+001dB,1.79891285231069e+002°)
4.89778819368445e+002	(2.68476677280689e+001dB,1.79888752942048e+002°)
5.01187233627271e+002	(2.68476672212278e+001dB,1.79886161668671e+002°)
5.12861383991364e+002	(2.68476666905001e+001dB,1.79883510037033e+002°)
5.24807460249771e+002	(2.68476661347600e+001dB,1.79880796641227e+002°)
5.37031796370251e+002	(2.68476655528286e+001dB,1.79878020042599e+002°)
5.49540873857623e+002	(2.68476649434719e+001dB,1.79875178768987e+002°)
5.62341325190348e+002	(2.68476643053971e+001dB,1.79872271313940e+002°)
5.75439937337155e+002	(2.68476636372510e+001dB,1.79869296135917e+002°)
5.88843655355587e+002	(2.68476629376160e+001dB,1.79866251657473e+002°)
6.02559586074356e+002	(2.68476622050084e+001dB,1.79863136264419e+002°)
6.16595001861481e+002	(2.68476614378742e+001dB,1.79859948304973e+002°)
6.30957344480192e+002	(2.68476606345864e+001dB,1.79856686088876e+002°)
6.45654229034654e+002	(2.68476597934409e+001dB,1.79853347886502e+002°)
6.60693448007594e+002	(2.68476589126537e+001dB,1.79849931927939e+002°)
