time	V(v2)	V(vout)
7.157540623736322e-007	-9.768566e-002	-3.237954e-002
7.245431248736321e-007	-9.871516e-002	-3.224461e-002
7.333321873736320e-007	-9.944369e-002	-3.201587e-002
7.421212498736319e-007	-9.986903e-002	-3.169917e-002
7.479806248736318e-007	-9.998348e-002	-3.144208e-002
7.538399998736317e-007	-9.996243e-002	-3.115028e-002
7.567696873736317e-007	-9.990109e-002	-3.099190e-002
7.596993748736317e-007	-9.980590e-002	-3.082548e-002
7.655587498736316e-007	-9.951411e-002	-3.046939e-002
7.714181248736315e-007	-9.908746e-002	-3.008366e-002
7.772774998736314e-007	-9.852652e-002	-2.966991e-002
7.860665623736313e-007	-9.743504e-002	-2.900017e-002
7.936000445164884e-007	-9.625331e-002	-2.837648e-002
8.011335266593455e-007	-9.486509e-002	-2.772201e-002
8.086670088022025e-007	-9.327041e-002	-2.703675e-002
8.162004909450595e-007	-9.146924e-002	-2.632070e-002
8.237339730879167e-007	-8.946160e-002	-2.557387e-002
8.312674552307737e-007	-8.724749e-002	-2.479625e-002
8.388009373736307e-007	-8.482689e-002	-2.398785e-002
8.521937945164877e-007	-7.996933e-002	-2.249513e-002
8.655866516593447e-007	-7.464961e-002	-2.094371e-002
8.789795088022017e-007	-6.886774e-002	-1.933359e-002
8.923723659450586e-007	-6.262373e-002	-1.766476e-002
9.057652230879157e-007	-5.591756e-002	-1.593723e-002
9.191580802307727e-007	-4.874925e-002	-1.415099e-002
9.325509373736296e-007	-4.111878e-002	-1.230605e-002
9.409214730879152e-007	-3.623542e-002	-1.112730e-002
9.492920088022009e-007	-3.128659e-002	-9.927947e-003
9.576625445164864e-007	-2.627231e-002	-8.707978e-003
9.660330802307721e-007	-2.119257e-002	-7.467396e-003
9.744036159450578e-007	-1.604738e-002	-6.206202e-003
9.827741516593432e-007	-1.083673e-002	-4.924395e-003
9.911446873736289e-007	-5.560616e-003	-3.621976e-003
9.961670088022002e-007	-2.400060e-003	-2.831533e-003
1.001189330230772e-006	7.550467e-004	-2.035657e-003
1.006211651659343e-006	3.904706e-003	-1.234349e-003
1.011233973087914e-006	7.048917e-003	-4.276076e-004
1.016256294516486e-006	1.018768e-002	3.845665e-004
1.021278615945057e-006	1.332099e-002	1.202174e-003
1.026300937373629e-006	1.644886e-002	2.025213e-003
1.032997365945057e-006	2.060069e-002	3.131319e-003
1.039693794516485e-006	2.469822e-002	4.239157e-003
1.046390223087914e-006	2.874143e-002	5.348729e-003
1.053086651659342e-006	3.273033e-002	6.460034e-003
1.059783080230771e-006	3.666491e-002	7.573072e-003
1.066479508802200e-006	4.054519e-002	8.687844e-003
1.073175937373628e-006	4.437116e-002	9.804348e-003
1.079035312373628e-006	4.763930e-002	1.077371e-002
1.087824374873628e-006	5.241909e-002	1.221784e-002
1.093265223087914e-006	5.530673e-002	1.310725e-002
1.098706071302199e-006	5.812177e-002	1.398585e-002
1.104146919516485e-006	6.086420e-002	1.485366e-002
1.109587767730770e-006	6.353404e-002	1.571067e-002
1.115028615945056e-006	6.613128e-002	1.655687e-002
1.120469464159342e-006	6.865591e-002	1.739228e-002
1.125910312373627e-006	7.110794e-002	1.821688e-002
1.134699374873627e-006	7.487971e-002	1.951003e-002
1.140977276659341e-006	7.744342e-002	2.041084e-002
1.147255178445056e-006	7.987777e-002	2.128048e-002
1.153533080230770e-006	8.218276e-002	2.211896e-002
1.159810982016484e-006	8.435841e-002	2.292628e-002
1.166088883802198e-006	8.640470e-002	2.370243e-002
1.172366785587913e-006	8.832163e-002	2.444743e-002
1.178644687373627e-006	9.010921e-002	2.516126e-002
1.184504062373627e-006	9.164350e-002	2.578817e-002
1.189944910587912e-006	9.296004e-002	2.634176e-002
1.195385758802198e-006	9.416482e-002	2.686140e-002
1.200826607016484e-006	9.525784e-002	2.734708e-002
1.206267455230769e-006	9.623910e-002	2.779880e-002
1.211708303445055e-006	9.710859e-002	2.821657e-002
1.217149151659341e-006	9.786632e-002	2.860039e-002
1.222589999873626e-006	9.851229e-002	2.895024e-002
1.227193794516483e-006	9.896720e-002	2.921602e-002
1.231797589159340e-006	9.933873e-002	2.945363e-002
1.236401383802197e-006	9.962688e-002	2.966308e-002
1.241005178445055e-006	9.983166e-002	2.984437e-002
1.245608973087912e-006	9.995306e-002	2.999749e-002
1.250212767730769e-006	9.999109e-002	3.012244e-002
1.254816562373626e-006	9.994575e-002	3.021923e-002
1.260257410587912e-006	9.978260e-002	3.029517e-002
1.265698258802197e-006	9.950406e-002	3.032953e-002
1.271139107016483e-006	9.911013e-002	3.032232e-002
1.276579955230768e-006	9.860082e-002	3.027352e-002
1.282020803445054e-006	9.797611e-002	3.018315e-002
1.287461651659340e-006	9.723602e-002	3.005121e-002
1.292902499873625e-006	9.638053e-002	2.987768e-002
1.297087767730768e-006	9.564548e-002	2.971543e-002
1.301273035587911e-006	9.484580e-002	2.952917e-002
1.305458303445054e-006	9.398150e-002	2.931890e-002
1.309643571302197e-006	9.305258e-002	2.908461e-002
1.313828839159339e-006	9.205904e-002	2.882632e-002
1.318014107016482e-006	9.100087e-002	2.854403e-002
1.322199374873625e-006	8.987808e-002	2.823772e-002
1.330569910587911e-006	8.742928e-002	2.754817e-002
1.338940446302196e-006	8.475898e-002	2.677668e-002
1.347310982016482e-006	8.186716e-002	2.592324e-002
1.355681517730768e-006	7.875384e-002	2.498784e-002
1.364052053445053e-006	7.541901e-002	2.397050e-002
1.372422589159339e-006	7.186267e-002	2.287120e-002
1.380793124873624e-006	6.808482e-002	2.168996e-002
1.391256294516481e-006	6.306647e-002	2.010466e-002
1.401719464159338e-006	5.783488e-002	1.844852e-002
1.412182633802195e-006	5.239004e-002	1.672152e-002
1.422645803445053e-006	4.673196e-002	1.492368e-002
1.433108973087910e-006	4.086063e-002	1.305498e-002
1.443572142730766e-006	3.477606e-002	1.111544e-002
1.454035312373623e-006	2.847825e-002	9.105043e-003
1.460313214159338e-006	2.466113e-002	7.892197e-003
1.466591115945052e-006	2.082069e-002	6.675315e-003
1.472869017730766e-006	1.695693e-002	5.454395e-003
1.479146919516480e-006	1.306985e-002	4.229439e-003
1.485424821302195e-006	9.159444e-003	3.000447e-003
1.491702723087909e-006	5.225717e-003	1.767417e-003
1.497980624873623e-006	1.268669e-003	5.303511e-004
1.503002946302194e-006	-1.894357e-003	-4.548312e-004
1.508025267730766e-006	-5.047675e-003	-1.434006e-003
1.513047589159337e-006	-8.191287e-003	-2.407175e-003
1.518069910587908e-006	-1.132519e-002	-3.374336e-003
1.523092232016480e-006	-1.444939e-002	-4.335490e-003
1.528114553445051e-006	-1.756388e-002	-5.290637e-003
1.533136874873623e-006	-2.066866e-002	-6.239777e-003
1.537740669516480e-006	-2.349534e-002	-7.100911e-003
1.542344464159337e-006	-2.629657e-002	-7.951750e-003
1.546948258802194e-006	-2.907234e-002	-8.792296e-003
1.551552053445051e-006	-3.182265e-002	-9.622548e-003
1.556155848087908e-006	-3.454752e-002	-1.044251e-002
1.560759642730765e-006	-3.724692e-002	-1.125217e-002
1.565363437373622e-006	-3.992088e-002	-1.205154e-002
1.570804285587908e-006	-4.303968e-002	-1.298036e-002
1.576245133802193e-006	-4.609944e-002	-1.388865e-002
1.581685982016479e-006	-4.910018e-002	-1.477641e-002
1.587126830230765e-006	-5.204189e-002	-1.564366e-002
1.592567678445051e-006	-5.492457e-002	-1.649038e-002
1.598008526659336e-006	-5.774822e-002	-1.731658e-002
1.603449374873622e-006	-6.051284e-002	-1.812226e-002
1.612238437373622e-006	-6.481425e-002	-1.937102e-002
1.618934865945050e-006	-6.797206e-002	-2.028242e-002
1.625631294516479e-006	-7.099687e-002	-2.115323e-002
1.632327723087907e-006	-7.388868e-002	-2.198347e-002
1.639024151659336e-006	-7.664748e-002	-2.277311e-002
1.645720580230764e-006	-7.927328e-002	-2.352218e-002
1.652417008802193e-006	-8.176608e-002	-2.423066e-002
1.659113437373621e-006	-8.412588e-002	-2.489855e-002
1.666228392730764e-006	-8.646659e-002	-2.555955e-002
1.673343348087907e-006	-8.862483e-002	-2.616893e-002
1.680458303445049e-006	-9.060058e-002	-2.672669e-002
1.687573258802192e-006	-9.239386e-002	-2.723282e-002
1.694688214159335e-006	-9.400467e-002	-2.768733e-002
1.701803169516478e-006	-9.543299e-002	-2.809022e-002
1.708918124873620e-006	-9.667884e-002	-2.844149e-002
1.718125714159335e-006	-9.799689e-002	-2.881553e-002
1.727333303445049e-006	-9.898209e-002	-2.909899e-002
1.736540892730763e-006	-9.963444e-002	-2.929187e-002
1.745748482016477e-006	-9.995394e-002	-2.939418e-002
1.754956071302191e-006	-9.994060e-002	-2.940590e-002
