Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1413.515584835397,0.0082693550918684824,-0.094033886821042897,-9.7843689109029413
1433.2192255035754,0.0079152660004483712,-0.094152376903892637,-9.9223530933988968
1453.1975242368969,0.0077690761605868734,-0.094899780191706778,-10.058003097888331
1473.4543096198372,0.0078698023834819584,-0.094559620715241169,-10.197144587067854
1493.9934636052578,0.0075173479970012894,-0.094992311614339173,-10.339146878335782
1514.8189222583474,0.0075937945698928318,-0.095298368788113513,-10.484755393737238
1535.9346765108985,0.0082980859694027388,-0.095667696413485159,-10.628125331175966
1557.3447729261352,0.0081729650177826269,-0.095723570658896584,-10.777221583798465
1579.0533144741757,0.008089206110760843,-0.096074000254968997,-10.926182681747299
1601.0644613183194,0.0078788798553896238,-0.095859497399375965,-11.079974752662139
1623.3824316122798,0.0083014070814272332,-0.096158616626322579,-11.231909137783504
1646.0115023085514,0.0070528995677072428,-0.096465270815007179,-11.390054809500043
1668.9560099780249,0.0071179456354710808,-0.096585665714893937,-11.550659593813783
1692.2203516410391,0.0074211175869433764,-0.096820873373886757,-11.711820271878256
1715.8089856100066,0.0069291232995655587,-0.097125748321782598,-11.875954634287808
1739.7264323438026,0.007745650250240016,-0.097418209391117713,-12.041328623483821
1763.9772753140453,0.007427751030335575,-0.097673899332219205,-12.211494231587125
1788.5661618834636,0.0078365841355387163,-0.098005563799700629,-12.380993374423987
1813.4978041964973,0.0066638546049187525,-0.098224407660973151,-12.553231230158914
1838.7769800823287,0.007275558158728236,-0.098522182063112973,-12.731458505055912
1864.408533970487,0.0065090004421124864,-0.098555014762164633,-12.90901554486368
1890.3973778192235,0.0061493764946343107,-0.098940603606434863,-13.092414422530425
1916.748492056817,0.0062833798135869656,-0.09929304242856532,-13.274105225149441
1943.4669265360221,0.0064552462090571479,-0.099835470748839278,-13.462586045737964
1970.5578015018002,0.006363741960560442,-0.099964338028926694,-13.65243755680811
1998.0263085725528,0.006218814410089488,-0.10014635752139112,-13.842797762641922
2025.8777117350191,0.0072210615723164182,-0.10115335086039602,-14.038343587380741
2054.1173483530661,0.0070974609802421876,-0.10087229719680442,-14.236312392451346
2082.7506301905164,0.0062119844141098916,-0.10117450825838654,-14.436522856208256
2111.7830444482465,0.0057424126646216959,-0.10162827719396172,-14.645716411050358
2141.2201548157313,0.0067578849580675077,-0.10228582698361104,-14.849118187449008
2171.0676025372672,0.0053131085582193765,-0.10219424995973213,-15.058349842131378
2201.3311074930321,0.0056642717842937066,-0.10288084299478827,-15.274367458057508
2232.0164692952371,0.0048794699539350395,-0.10372514928510426,-15.48826290998457
2263.1295683995318,0.0065167361750023377,-0.10425781320006069,-15.708717646694396
2294.6763672319389,0.0065617734958329076,-0.10462575447225284,-15.932795240020425
2326.6629113314602,0.0054238999938516289,-0.10499911996186745,-16.157296395102392
2359.0953305086387,0.0052474557860054507,-0.10564294650813214,-16.387470872466103
2391.9798400202426,0.0049046601570835284,-0.10599842893557418,-16.619966445261625
2425.3227417603557,0.0057056160335885973,-0.10660495386092786,-16.857139640054527
2459.1304254680467,0.00486402655290878,-0.10756173773728013,-17.098238549636775
2493.409369951883,0.0051480868254173816,-0.10813034790768411,-17.341124592282512
2528.1661443315029,0.0056172629640778658,-0.10890083305890348,-17.589431887285357
2563.4074092965175,0.0059752503183771065,-0.10942140069635675,-17.84168809266157
2599.1399183829358,0.004619207650592168,-0.1103252936271021,-18.094669803120325
2635.3705192673983,0.0049027280004080784,-0.11090743413917492,-18.353724600053368
2672.1061550794379,0.00511284834942498,-0.1119488574243495,-18.616099897879565
2709.3538657320546,0.0044293882761004171,-0.11260034954165977,-18.883678176202849
2747.1207892708144,0.003808714597365519,-0.11380095161552287,-19.154334406207028
2785.4141632417718,0.0041248177777731682,-0.11512750341892301,-19.429134996366173
2824.2413260784383,0.0047680147642844683,-0.11562215660867188,-19.708866190631852
2863.6097185081189,0.0033146045751909197,-0.11714108805397008,-19.992766708980344
2903.5268849778167,0.0032942970325090916,-0.11798911191543349,-20.279221841347223
2944.0004751000365,0.0041710872938996654,-0.11951244012102728,-20.573234408689828
2985.0382451187352,0.003481917499604198,-0.12078818901012132,-20.871521482557704
3026.6480593956921,0.0039741536196359513,-0.12160327074434775,-21.172350955139905
3068.8378919176453,0.0032961915939024779,-0.12310797107856125,-21.478529813008464
