Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
351119.17342151323,0.0063460528686240178,-54.771021555267943,133.02314105318248
376493.58067924681,0.00038216611469654607,-54.208709884763124,127.73029441852862
403701.72585965565,-0.007028784415713799,-54.020824503886473,123.7080202860583
432876.12810830591,-0.026683389548268922,-53.188180542583751,119.7558602164722
464158.88336127781,-0.025529564000376245,-52.490948512801353,115.09383652749453
497702.35643321119,-0.030453990327479686,-51.864506500276669,115.29010287876937
533669.92312063091,-0.040201237905392942,-50.898986125067296,111.56775050382964
572236.76593502192,-0.047763558585205319,-50.234981569243516,108.01536932824681
613590.72734131722,-0.055811118370802756,-49.387146945085917,107.26230221435824
657933.22465756827,-0.062039295651606305,-48.634436739067823,106.61399213940069
705480.23107186437,-0.071915394703535043,-47.942083660813807,104.33263745415968
756463.32755462872,-0.082064961863186903,-47.203531401807844,103.67021606261926
811130.83078968723,-0.098315735435108131,-46.494325658171064,103.17993180298953
869749.00261778326,-0.095678891854266687,-46.190088129087428,99.169492075574794
932603.34688322025,-0.10945505093792059,-45.03806354568048,99.099876736453723
1000000,-0.12039356978987628,-44.304734181953485,99.958543091229103
