Freq.	V(vo)
1.16412602941049e+001	4.14153420823781e-001,-1.12351017759793e-003
1.16680961706096e+001	4.14153244150223e-001,-1.12609980858766e-003
1.16949939101987e+001	4.14153066661135e-001,-1.12869540702335e-003
1.17219536554813e+001	4.14152888352754e-001,-1.13129698664566e-003
1.17489755493953e+001	4.14152709221296e-001,-1.13390456122680e-003
1.17760597352080e+001	4.14152529262963e-001,-1.13651814457062e-003
1.18032063565173e+001	4.14152348473938e-001,-1.13913775051269e-003
1.18304155572516e+001	4.14152166850385e-001,-1.14176339292033e-003
1.18576874816716e+001	4.14151984388454e-001,-1.14439508569276e-003
1.18850222743701e+001	4.14151801084272e-001,-1.14703284276110e-003
1.19124200802737e+001	4.14151616933953e-001,-1.14967667808848e-003
1.19398810446427e+001	4.14151431933589e-001,-1.15232660567011e-003
1.19674053130724e+001	4.14151246079257e-001,-1.15498263953332e-003
1.19949930314937e+001	4.14151059367017e-001,-1.15764479373771e-003
1.20226443461741e+001	4.14150871792905e-001,-1.16031308237512e-003
1.20503594037179e+001	4.14150683352944e-001,-1.16298751956979e-003
1.20781383510678e+001	4.14150494043137e-001,-1.16566811947839e-003
1.21059813355048e+001	4.14150303859469e-001,-1.16835489629010e-003
1.21338885046497e+001	4.14150112797906e-001,-1.17104786422672e-003
1.21618600064636e+001	4.14149920854394e-001,-1.17374703754266e-003
1.21898959892486e+001	4.14149728024863e-001,-1.17645243052511e-003
1.22179966016487e+001	4.14149534305223e-001,-1.17916405749407e-003
1.22461619926504e+001	4.14149339691364e-001,-1.18188193280241e-003
1.22743923115840e+001	4.14149144179158e-001,-1.18460607083597e-003
1.23026877081238e+001	4.14148947764459e-001,-1.18733648601363e-003
1.23310483322890e+001	4.14148750443100e-001,-1.19007319278737e-003
1.23594743344450e+001	4.14148552210896e-001,-1.19281620564238e-003
1.23879658653036e+001	4.14148353063642e-001,-1.19556553909712e-003
1.24165230759240e+001	4.14148152997114e-001,-1.19832120770334e-003
1.24451461177138e+001	4.14147952007068e-001,-1.20108322604625e-003
1.24738351424294e+001	4.14147750089241e-001,-1.20385160874455e-003
1.25025903021771e+001	4.14147547239350e-001,-1.20662637045048e-003
1.25314117494141e+001	4.14147343453093e-001,-1.20940752584996e-003
1.25602996369487e+001	4.14147138726147e-001,-1.21219508966260e-003
1.25892541179416e+001	4.14146933054168e-001,-1.21498907664184e-003
1.26182753459066e+001	4.14146726432796e-001,-1.21778950157496e-003
1.26473634747114e+001	4.14146518857646e-001,-1.22059637928320e-003
1.26765186585784e+001	4.14146310324316e-001,-1.22340972462186e-003
1.27057410520853e+001	4.14146100828384e-001,-1.22622955248033e-003
1.27350308101665e+001	4.14145890365404e-001,-1.22905587778215e-003
1.27643880881134e+001	4.14145678930913e-001,-1.23188871548518e-003
1.27938130415752e+001	4.14145466520426e-001,-1.23472808058157e-003
1.28233058265601e+001	4.14145253129437e-001,-1.23757398809794e-003
1.28528665994361e+001	4.14145038753421e-001,-1.24042645309534e-003
1.28824955169313e+001	4.14144823387829e-001,-1.24328549066948e-003
1.29121927361353e+001	4.14144607028095e-001,-1.24615111595063e-003
1.29419584144998e+001	4.14144389669627e-001,-1.24902334410388e-003
1.29717927098395e+001	4.14144171307816e-001,-1.25190219032907e-003
1.30016957803328e+001	4.14143951938030e-001,-1.25478766986097e-003
1.30316677845229e+001	4.14143731555616e-001,-1.25767979796929e-003
1.30617088813183e+001	4.14143510155900e-001,-1.26057858995882e-003
1.30918192299940e+001	4.14143287734184e-001,-1.26348406116946e-003
1.31219989901920e+001	4.14143064285751e-001,-1.26639622697633e-003
1.31522483219223e+001	4.14142839805862e-001,-1.26931510278983e-003
1.31825673855640e+001	4.14142614289754e-001,-1.27224070405573e-003
1.32129563418657e+001	4.14142387732644e-001,-1.27517304625528e-003
1.32434153519466e+001	4.14142160129727e-001,-1.27811214490524e-003
1.32739445772973e+001	4.14141931476174e-001,-1.28105801555795e-003
1.33045441797808e+001	4.14141701767136e-001,-1.28401067380150e-003
1.33352143216332e+001	4.14141470997740e-001,-1.28697013525973e-003
1.33659551654643e+001	4.14141239163091e-001,-1.28993641559234e-003
1.33967668742593e+001	4.14141006258270e-001,-1.29290953049496e-003
1.34276496113785e+001	4.14140772278339e-001,-1.29588949569922e-003
1.34586035405594e+001	4.14140537218333e-001,-1.29887632697290e-003
1.34896288259164e+001	4.14140301073268e-001,-1.30187004011994e-003
1.35207256319427e+001	4.14140063838133e-001,-1.30487065098053e-003
1.35518941235103e+001	4.14139825507896e-001,-1.30787817543121e-003
1.35831344658714e+001	4.14139586077502e-001,-1.31089262938499e-003
1.36144468246594e+001	4.14139345541872e-001,-1.31391402879134e-003
1.36458313658891e+001	4.14139103895905e-001,-1.31694238963638e-003
1.36772882559584e+001	4.14138861134474e-001,-1.31997772794286e-003
1.37088176616484e+001	4.14138617252429e-001,-1.32302005977031e-003
1.37404197501251e+001	4.14138372244598e-001,-1.32606940121510e-003
1.37720946889394e+001	4.14138126105783e-001,-1.32912576841058e-003
1.38038426460287e+001	4.14137878830763e-001,-1.33218917752704e-003
1.38356637897177e+001	4.14137630414293e-001,-1.33525964477192e-003
1.38675582887188e+001	4.14137380851104e-001,-1.33833718638982e-003
1.38995263121334e+001	4.14137130135902e-001,-1.34142181866261e-003
1.39315680294529e+001	4.14136878263368e-001,-1.34451355790952e-003
1.39636836105593e+001	4.14136625228161e-001,-1.34761242048720e-003
1.39958732257261e+001	4.14136371024911e-001,-1.35071842278984e-003
