Freq.	(-V(v1)*10000/(V(v2)-V(v1)))-10000
3.89045144994278e+003	6.26236279932369e+003,7.17220979081073e+003
3.98107170553494e+003	6.49981078157203e+003,7.33277646207087e+003
4.07380277804110e+003	6.74259655375403e+003,7.48343873739708e+003
4.16869383470332e+003	6.99011797493834e+003,7.62404273162529e+003
4.26579518801589e+003	7.24177275841811e+003,7.75447712384457e+003
4.36515832240162e+003	7.49696185503786e+003,7.87467222366428e+003
4.46683592150960e+003	7.75509265967884e+003,7.98459875278992e+003
4.57088189614871e+003	8.01558201705316e+003,8.08426636942783e+003
4.67735141287194e+003	8.27785900703176e+003,8.17372196476228e+003
4.78630092322634e+003	8.54136749384976e+003,8.25304776188157e+003
4.89778819368442e+003	8.80556842761259e+003,8.32235924809175e+003
5.01187233627268e+003	9.06994189048699e+003,8.38180297158455e+003
5.12861383991361e+003	9.33398888374435e+003,8.43155423296009e+003
5.24807460249768e+003	9.59723285536094e+003,8.47181470119946e+003
5.37031796370248e+003	9.85922097113657e+003,8.50280998238944e+003
5.49540873857620e+003	1.01195251352266e+004,8.52478716788333e+003
5.62341325190344e+003	1.03777427685708e+004,8.53801238669832e+003
5.75439937337152e+003	1.06334973559323e+004,8.54276838485940e+003
5.88843655355584e+003	1.08864387741242e+004,8.53935215216258e+003
6.02559586074353e+003	1.11362434155043e+004,8.52807261450402e+003
6.16595001861477e+003	1.13826141219712e+004,8.50924840754698e+003
6.30957344480188e+003	1.16252799455145e+004,8.48320574513953e+003
6.45654229034650e+003	1.18639957518764e+004,8.45027639357439e+003
6.60693448007590e+003	1.20985416841071e+004,8.41079576054450e+003
6.76082975391976e+003	1.23287225027551e+004,8.36510110552178e+003
6.91830970918931e+003	1.25543668191740e+004,8.31352987629137e+003
7.07945784384132e+003	1.27753262379630e+004,8.25641817452946e+003
7.24435960074984e+003	1.29914744239359e+004,8.19409935163244e+003
7.41310241300911e+003	1.32027061082510e+004,8.12690273449753e+003
7.58577575029177e+003	1.34089360474650e+004,8.05515247961667e+003
7.76247116628685e+003	1.36100979483300e+004,7.97916655268693e+003
7.94328234724275e+003	1.38061433701481e+004,7.89925582994892e+003
8.12830516164092e+003	1.39970406154642e+004,7.81572331663694e+003
8.31763771102664e+003	1.41827736188327e+004,7.72886347725414e+003
8.51138038202369e+003	1.43633408423493e+004,7.63896167185985e+003
8.70963589956073e+003	1.45387541856210e+004,7.54629369216413e+003
8.91250938133738e+003	1.47090379168537e+004,7.45112539095481e+003
9.12010839355902e+003	1.48742276307955e+004,7.35371239822414e+003
9.33254300796983e+003	1.50343692383701e+004,7.25429991729813e+003
9.54992586021428e+003	1.51895179920003e+004,7.15312259429449e+003
9.77237220955802e+003	1.53397375498362e+004,7.05040445433215e+003
9.99999999999991e+003	1.54850990813876e+004,6.94635889807086e+003
1.02329299228075e+004	1.56256804164025e+004,6.84118875236992e+003
1.04712854805089e+004	1.57615652382465e+004,6.73508636910140e+003
1.07151930523760e+004	1.58928423225053e+004,6.62823376643944e+003
1.09647819614318e+004	1.60196048210662e+004,6.52080280724812e+003
1.12201845430195e+004	1.61419495915255e+004,6.41295540951656e+003
1.14815362149687e+004	1.62599765714107e+004,6.30484378411903e+003
1.17489755493952e+004	1.63737881964061e+004,6.19661069551835e+003
1.20226443461740e+004	1.64834888615100e+004,6.08838974136370e+003
1.23026877081237e+004	1.65891844238463e+004,5.98030564727056e+003
1.25892541179416e+004	1.66909817456759e+004,5.87247457339257e+003
1.28824955169312e+004	1.67889882760231e+004,5.76500442971200e+003
1.31825673855640e+004	1.68833116692267e+004,5.65799519727468e+003
1.34896288259164e+004	1.69740594386572e+004,5.55153925288755e+003
1.38038426460287e+004	1.70613386437890e+004,5.44572169506552e+003
1.41253754462274e+004	1.71452556087986e+004,5.34062066927384e+003
1.44543977074591e+004	1.72259156708498e+004,5.23630769074979e+003
1.47910838816819e+004	1.73034229562427e+004,5.13284796341315e+003
1.51356124843619e+004	1.73778801826274e+004,5.03030069357878e+003
1.54881661891247e+004	1.74493884855238e+004,4.92871939737642e+003
1.58489319246110e+004	1.75180472674348e+004,4.82815220095543e+003
1.62181009735891e+004	1.75839540678983e+004,4.72864213271232e+003
1.65958690743755e+004	1.76472044528825e+004,4.63022740691970e+003
1.69824365246173e+004	1.77078919219992e+004,4.53294169826828e+003
1.73780082874936e+004	1.77661078320786e+004,4.43681440694634e+003
1.77827941003891e+004	1.78219413357176e+004,4.34187091398867e+003
1.81970085860997e+004	1.78754793334940e+004,4.24813282671419e+003
1.86208713666285e+004	1.79268064386074e+004,4.15561821415624e+003
1.90546071796323e+004	1.79760049527802e+004,4.06434183246220e+003
1.94984459975803e+004	1.80231548523296e+004,3.97431534029431e+003
1.99526231496886e+004	1.80683337833865e+004,3.88554750432501e+003
2.04173794466951e+004	1.81116170653091e+004,3.79804439496053e+003
2.08929613085402e+004	1.81530777014045e+004,3.71180957246818e+003
2.13796208950221e+004	1.81927863961361e+004,3.62684426371368e+003
2.18776162394953e+004	1.82308115780544e+004,3.54314752974215e+003
2.23872113856832e+004	1.82672194277501e+004,3.46071642445988e+003
2.29086765276775e+004	1.83020739101804e+004,3.37954614468663e+003
2.34422881531990e+004	1.83354368107753e+004,3.29963017186784e+003
2.39883291901947e+004	1.83673677747780e+004,3.22096040573806e+003
2.45470891568501e+004	1.83979243493224e+004,3.14352729024306e+003
2.51188643150956e+004	1.84271620277917e+004,3.06731993201919e+003
2.57039578276884e+004	1.84551342960474e+004,2.99232621174290e+003
2.63026799189536e+004	1.84818926801513e+004,2.91853288865252e+003
2.69153480392689e+004	1.85074867952438e+004,2.84592569854730e+003
2.75422870333814e+004	1.85319643952713e+004,2.77448944556270e+003
2.81838293126443e+004	1.85553714232889e+004,2.70420808801686e+003
2.88403150312658e+004	1.85777520620891e+004,2.63506481861440e+003
2.95120922666636e+004	1.85991487849423e+004,2.56704213928841e+003
3.01995172040199e+004	1.86196024062454e+004,2.50012193095484e+003
3.09029543251356e+004	1.86391521319116e+004,2.43428551844133e+003
3.16227766016835e+004	1.86578356093449e+004,2.36951373084576e+003
3.23593656929625e+004	1.86756889768651e+004,2.30578695757401e+003
3.31131121482588e+004	1.86927469124674e+004,2.24308520028707e+003
3.38844156139199e+004	1.87090426818128e+004,2.18138812099284e+003
3.46736850452528e+004	1.87246081853646e+004,2.12067508649339e+003
3.54813389233572e+004	1.87394740045941e+004,2.06092520940040e+003
3.63078054770098e+004	1.87536694471927e+004,2.00211738591684e+003
3.71535229097169e+004	1.87672225912405e+004,1.94423033057297e+003
3.80189396320557e+004	1.87801603282850e+004,1.88724260809933e+003
3.89045144994277e+004	1.87925084052991e+004,1.83113266261009e+003
3.98107170553493e+004	1.88042914654890e+004,1.77587884425404e+003
4.07380277804108e+004	1.88155330879343e+004,1.72145943349634e+003
4.16869383470331e+004	1.88262558260448e+004,1.66785266317234e+003
4.26579518801588e+004	1.88364812448284e+004,1.61503673845310e+003
4.36515832240161e+004	1.88462299569634e+004,1.56298985485751e+003
4.46683592150958e+004	1.88555216576787e+004,1.51169021443126e+003
4.57088189614870e+004	1.88643751584454e+004,1.46111604021317e+003
4.67735141287193e+004	1.88728084194865e+004,1.41124558909894e+003
4.78630092322633e+004	1.88808385811172e+004,1.36205716320347e+003
4.89778819368441e+004	1.88884819939266e+004,1.31352911982828e+003
5.01187233627267e+004	1.88957542478173e+004,1.26563988011738e+003
5.12861383991359e+004	1.89026701999177e+004,1.21836793649399e+003
5.24807460249767e+004	1.89092440013870e+004,1.17169185896114e+003
5.37031796370247e+004	1.89154891231297e+004,1.12559030033860e+003
5.49540873857619e+004	1.89214183804411e+004,1.08004200051247e+003
5.62341325190343e+004	1.89270439566039e+004,1.03502578976590e+003
5.75439937337151e+004	1.89323774254562e+004,9.90520591246992e+002
5.88843655355583e+004	1.89374297729542e+004,9.46505422648226e+002
6.02559586074351e+004	1.89422114177482e+004,9.02959397137529e+002
6.16595001861475e+004	1.89467322307961e+004,8.59861723604006e+002
6.30957344480186e+004	1.89510015540339e+004,8.17191706265897e+002
6.45654229034648e+004	1.89550282181249e+004,7.74928743681704e+002
6.60693448007589e+004	1.89588205593088e+004,7.33052327214198e+002
6.76082975391974e+004	1.89623864353703e+004,6.91542038986678e+002
6.91830970918929e+004	1.89657332407468e+004,6.50377549362119e+002
7.07945784384130e+004	1.89688679207956e+004,6.09538613992930e+002
7.24435960074982e+004	1.89717969852384e+004,5.69005070464645e+002
7.41310241300909e+004	1.89745265207998e+004,5.28756834567807e+002
7.58577575029175e+004	1.89770622030609e+004,4.88773896230352e+002
7.76247116628683e+004	1.89794093075383e+004,4.49036315133231e+002
7.94328234724272e+004	1.89815727200105e+004,4.09524216037033e+002
8.12830516164090e+004	1.89835569461019e+004,3.70217783845546e+002
8.31763771102661e+004	1.89853661201401e+004,3.31097258425797e+002
8.51138038202367e+004	1.89870040132988e+004,2.92142929210469e+002
8.70963589956071e+004	1.89884740410398e+004,2.53335129594865e+002
8.91250938133735e+004	1.89897792698635e+004,2.14654231159626e+002
9.12010839355899e+004	1.89909224233788e+004,1.76080637727498e+002
9.33254300796980e+004	1.89919058877018e+004,1.37594779273259e+002
9.54992586021425e+004	1.89927317161916e+004,9.91771057095184e+001
9.77237220955799e+004	1.89934016335306e+004,6.08080805550653e+001
9.99999999999988e+004	1.89939170391548e+004,2.24681745091697e+001
1.02329299228074e+005	1.89942790100406e+004,-1.58621410571319e+001
1.04712854805089e+005	1.89944883028527e+004,-5.42024006820850e+001
1.07151930523759e+005	1.89945453554546e+004,-9.25721514413915e+001
1.09647819614317e+005	1.89944502877861e+004,-1.30990959625402e+002
1.12201845430195e+005	1.89942029021086e+004,-1.69478417434761e+002
1.14815362149687e+005	1.89938026826180e+004,-2.08054149699087e+002
1.17489755493952e+005	1.89932487944265e+004,-2.46737820586142e+002
1.20226443461740e+005	1.89925400819082e+004,-2.85549140303826e+002
1.23026877081237e+005	1.89916750664104e+004,-3.24507871775179e+002
1.25892541179415e+005	1.89906519433238e+004,-3.63633837266477e+002
1.28824955169312e+005	1.89894685785091e+004,-4.02946924966195e+002
1.31825673855639e+005	1.89881225040715e+004,-4.42467095497495e+002
