Freq.	(-V(v1)*10000/(V(v2)-V(v1)))-10000
1.14815362149687e+004	1.63835041801204e+004,6.12022041384786e+003
1.17489755493952e+004	1.64985449375574e+004,6.00460008288308e+003
1.20226443461740e+004	1.66094122362246e+004,5.88883878243430e+003
1.23026877081237e+004	1.67162119804965e+004,5.77305987456486e+003
1.25892541179416e+004	1.68190511143197e+004,5.65737798296744e+003
1.28824955169312e+004	1.69180371934996e+004,5.54189930724013e+003
1.31825673855640e+004	1.70132779952769e+004,5.42672194353706e+003
1.34896288259164e+004	1.71048811634365e+004,5.31193620905225e+003
1.38038426460287e+004	1.71929538871381e+004,5.19762496807416e+003
1.41253754462274e+004	1.72776026116294e+004,5.08386395760413e+003
1.44543977074591e+004	1.73589327789967e+004,4.97072211078189e+003
1.47910838816819e+004	1.74370485971147e+004,4.85826187658148e+003
1.51356124843619e+004	1.75120528349818e+004,4.74653953445429e+003
1.54881661891247e+004	1.75840466426647e+004,4.63560550279036e+003
1.58489319246110e+004	1.76531293941199e+004,4.52550464024274e+003
1.62181009735891e+004	1.77193985512179e+004,4.41627653912480e+003
1.65958690743755e+004	1.77829495473532e+004,4.30795581023519e+003
1.69824365246173e+004	1.78438756890903e+004,4.20057235859896e+003
1.73780082874936e+004	1.79022680743695e+004,4.09415164973036e+003
1.77827941003891e+004	1.79582155258588e+004,3.98871496613218e+003
1.81970085860997e+004	1.80118045381233e+004,3.88427965383799e+003
1.86208713666285e+004	1.80631192373462e+004,3.78085935888826e+003
1.90546071796323e+004	1.81122413524162e+004,3.67846425370723e+003
1.94984459975803e+004	1.81592501962654e+004,3.57710125340581e+003
1.99526231496886e+004	1.82042226564123e+004,3.47677422209690e+003
2.04173794466951e+004	1.82472331937365e+004,3.37748416935388e+003
2.08929613085402e+004	1.82883538485746e+004,3.27922943698342e+003
2.13796208950221e+004	1.83276542532946e+004,3.18200587631974e+003
2.18776162394953e+004	1.83652016505662e+004,3.08580701627283e+003
2.23872113856832e+004	1.84010609166026e+004,2.99062422239026e+003
2.29086765276775e+004	1.84352945887079e+004,2.89644684720380e+003
2.34422881531990e+004	1.84679628965147e+004,2.80326237215533e+003
2.39883291901947e+004	1.84991237963482e+004,2.71105654139773e+003
2.45470891568501e+004	1.85288330081990e+004,2.61981348778127e+003
2.51188643150956e+004	1.85571440548326e+004,2.52951585133642e+003
2.57039578276884e+004	1.85841083026043e+004,2.44014489056669e+003
2.63026799189536e+004	1.86097750035850e+004,2.35168058686726e+003
2.69153480392689e+004	1.86341913386448e+004,2.26410174238070e+003
2.75422870333814e+004	1.86574024611669e+004,2.17738607159865e+003
2.81838293126443e+004	1.86794515411030e+004,2.09151028701578e+003
2.88403150312658e+004	1.87003798091050e+004,2.00645017913379e+003
