Freq.	(V(v1)/I(R2))-100
8.51138038202369e+003	3.52375028526808e-003,1.46380279082853e-002
8.70963589956073e+003	3.52150132782469e-003,1.49151245301619e-002
8.91250938133738e+003	3.51931824232565e-003,1.52005138481350e-002
9.12010839355902e+003	3.51720181822657e-003,1.54943191379277e-002
9.33254300796983e+003	3.51515240197386e-003,1.57966702796785e-002
9.54992586021428e+003	3.51316996476214e-003,1.61077036531293e-002
9.77237220955802e+003	3.51125416095499e-003,1.64275620510871e-002
9.99999999999991e+003	3.50940437924407e-003,1.67563946103911e-002
1.02329299228075e+004	3.50761978620540e-003,1.70943567584338e-002
1.04712854805089e+004	3.50589936518020e-003,1.74416101743730e-002
1.07151930523760e+004	3.50424194881782e-003,1.77983227641553e-002
1.09647819614318e+004	3.50264624856322e-003,1.81646686478334e-002
1.12201845430195e+004	3.50111087873017e-003,1.85408281588994e-002
1.14815362149687e+004	3.49963437848544e-003,1.89269878544989e-002
1.17489755493952e+004	3.49821523036553e-003,1.93233405360776e-002
1.20226443461740e+004	3.49685187620707e-003,1.97300852796805e-002
1.23026877081237e+004	3.49554273094554e-003,2.01474274753869e-002
1.25892541179416e+004	3.49428619431080e-003,2.05755788755177e-002
1.28824955169312e+004	3.49308066131471e-003,2.10147576510849e-002
1.31825673855640e+004	3.49192453039393e-003,2.14651884559592e-002
1.34896288259164e+004	3.49081621115488e-003,2.19271024987392e-002
1.38038426460287e+004	3.48975413018593e-003,2.24007376216824e-002
1.41253754462274e+004	3.48873673678440e-003,2.28863383866728e-002
1.44543977074591e+004	3.48776250680771e-003,2.33841561678443e-002
1.47910838816819e+004	3.48682994646765e-003,2.38944492505922e-002
1.51356124843619e+004	3.48593759531468e-003,2.44174829371145e-002
1.54881661891247e+004	3.48508402865377e-003,2.49535296578876e-002
1.58489319246110e+004	3.48426785930656e-003,2.55028690892129e-002
1.62181009735891e+004	3.48348773904661e-003,2.60657882767116e-002
1.65958690743755e+004	3.48274236003476e-003,2.66425817645700e-002
1.69824365246173e+004	3.48203045501805e-003,2.72335517304226e-002
1.73780082874936e+004	3.48135079836709e-003,2.78390081260573e-002
1.77827941003891e+004	3.48070220603347e-003,2.84592688235423e-002
1.81970085860997e+004	3.48008353581974e-003,2.90946597670219e-002
1.86208713666285e+004	3.47949368696732e-003,2.97455151300103e-002
1.90546071796323e+004	3.47893160032697e-003,3.04121774781885e-002
1.94984459975803e+004	3.47839625780466e-003,3.10949979377814e-002
1.99526231496886e+004	3.47788668157989e-003,3.17943363694338e-002
2.04173794466951e+004	3.47740193423363e-003,3.25105615476102e-002
2.08929613085402e+004	3.47694111762564e-003,3.32440513456198e-002
2.13796208950221e+004	3.47650337238292e-003,3.39951929262366e-002
2.18776162394953e+004	3.47608787717490e-003,3.47643829379467e-002
2.23872113856832e+004	3.47569384828716e-003,3.55520277169877e-002
2.29086765276775e+004	3.47532053817190e-003,3.63585434950260e-002
2.34422881531990e+004	3.47496723559004e-003,3.71843566127880e-002
2.39883291901947e+004	3.47463326423281e-003,3.80299037395652e-002
2.45470891568501e+004	3.47431798201114e-003,3.88956320986241e-002
2.51188643150956e+004	3.47402078074310e-003,3.97819996988421e-002
2.57039578276884e+004	3.47374108494591e-003,4.06894755723496e-002
2.63026799189536e+004	3.47347835132439e-003,4.16185400185388e-002
2.69153480392689e+004	3.47323206814565e-003,4.25696848543733e-002
2.75422870333814e+004	3.47300175434384e-003,4.35434136712052e-002
2.81838293126443e+004	3.47278695927855e-003,4.45402420982028e-002
2.88403150312658e+004	3.47258726148425e-003,4.55606980723537e-002
2.95120922666636e+004	3.47240226882661e-003,4.66053221155249e-002
3.01995172040199e+004	3.47223161739407e-003,4.76746676182519e-002
3.09029543251356e+004	3.47207497135571e-003,4.87693011307634e-002
3.16227766016835e+004	3.47193202202334e-003,4.98898026612323e-002
3.23593656929625e+004	3.47180248807888e-003,5.10367659813716e-002
3.31131121482588e+004	3.47168611448012e-003,5.22107989395741e-002
3.38844156139199e+004	3.47158267253178e-003,5.34125237817695e-002
3.46736850452528e+004	3.47149195947338e-003,5.46425774801425e-002
3.54813389233572e+004	3.47141379810978e-003,5.59016120698506e-002
3.63078054770098e+004	3.47134803664062e-003,5.71902949939032e-002
3.71535229097169e+004	3.47129454843298e-003,5.85093094565312e-002
3.80189396320557e+004	3.47125323195030e-003,5.98593547849850e-002
3.89045144994277e+004	3.47122401048239e-003,6.12411468001738e-002
3.98107170553493e+004	3.47120683220226e-003,6.26554181962080e-002
4.07380277804108e+004	3.47120167009507e-003,6.41029189290471e-002
4.16869383470331e+004	3.47120852200078e-003,6.55844166146148e-002
4.26579518801588e+004	3.47122741071360e-003,6.71006969363491e-002
4.36515832240161e+004	3.47125838403883e-003,6.86525640626333e-002
4.46683592150958e+004	3.47130151500608e-003,7.02408410741314e-002
4.57088189614870e+004	3.47135690209655e-003,7.18663704014967e-002
4.67735141287193e+004	3.47142466938521e-003,7.35300142734310e-002
4.78630092322633e+004	3.47150496722293e-003,7.52326551755185e-002
4.89778819368441e+004	3.47159797210850e-003,7.69751963200693e-002
5.01187233627267e+004	3.47170388741347e-003,7.87585621270893e-002
5.12861383991359e+004	3.47182294393633e-003,8.05836987168511e-002
5.24807460249767e+004	3.47195540014411e-003,8.24515744141688e-002
5.37031796370247e+004	3.47210154311028e-003,8.43631802647408e-002
5.49540873857619e+004	3.47226168905479e-003,8.63195305638435e-002
5.62341325190343e+004	3.47243618374193e-003,8.83216633975744e-002
5.75439937337151e+004	3.47262540392990e-003,9.03706411971691e-002
5.88843655355583e+004	3.47282975766916e-003,9.24675513064491e-002
6.02559586074351e+004	3.47304968536832e-003,9.46135065628382e-002
6.16595001861475e+004	3.47328566094518e-003,9.68096458923618e-002
6.30957344480186e+004	3.47353819263674e-003,9.90571349188085e-002
6.45654229034648e+004	3.47380782444873e-003,1.01357166587482e-001
6.60693448007589e+004	3.47409513709351e-003,1.03710961803946e-001
6.76082975391974e+004	3.47440074948224e-003,1.06119770087985e-001
6.91830970918929e+004	3.47472532001802e-003,1.08584870243348e-001
7.07945784384130e+004	3.47506954821597e-003,1.11107571043510e-001
7.24435960074982e+004	3.47543417593954e-003,1.13689211933954e-001
7.41310241300909e+004	3.47581998963165e-003,1.16331163751326e-001
7.58577575029175e+004	3.47622782152257e-003,1.19034829459850e-001
7.76247116628683e+004	3.47665855200319e-003,1.21801644905629e-001
7.94328234724272e+004	3.47711311108867e-003,1.24633079588917e-001
8.12830516164090e+004	3.47759248109014e-003,1.27530637455418e-001
8.31763771102661e+004	3.47809769851892e-003,1.30495857706293e-001
8.51138038202367e+004	3.47862985645975e-003,1.33530315628167e-001
8.70963589956071e+004	3.47919010714293e-003,1.36635623442973e-001
8.91250938133735e+004	3.47977966472968e-003,1.39813431178729e-001
9.12010839355899e+004	3.48039980777060e-003,1.43065427561335e-001
9.33254300796980e+004	3.48105188247416e-003,1.46393340928095e-001
9.54992586021425e+004	3.48173730554890e-003,1.49798940163702e-001
9.77237220955799e+004	3.48245756784138e-003,1.53284035659060e-001
9.99999999999988e+004	3.48321423747677e-003,1.56850480293532e-001
1.02329299228074e+005	3.48400896361056e-003,1.60500170441535e-001
1.04712854805089e+005	3.48484348049283e-003,1.64235047003746e-001
1.07151930523759e+005	3.48571961140465e-003,1.68057096463873e-001
1.09647819614317e+005	3.48663927285031e-003,1.71968351971541e-001
