Freq.	V(vo)
4.58173530553554e+001	(1.53288082979282e+000dB,-1.12831289799451e+001°)
4.68845763063984e+001	(1.50530839959647e+000dB,-1.12369585496062e+001°)
4.79766583803898e+001	(1.47793039511795e+000dB,-1.11912703009810e+001°)
4.90941783137006e+001	(1.45072532317766e+000dB,-1.11461160975639e+001°)
5.02377286301916e+001	(1.42367113135784e+000dB,-1.11015364167038e+001°)
5.14079156553772e+001	(1.39674530728326e+000dB,-1.10575601090833e+001°)
5.26053598379076e+001	(1.36992497931979e+000dB,-1.10142041836858e+001°)
5.38306960785383e+001	(1.34318701876239e+000dB,-1.09714736175303e+001°)
5.50845740667633e+001	(1.31650814362109e+000dB,-1.09293611897046e+001°)
5.63676586252890e+001	(1.28986502414124e+000dB,-1.08878473395200e+001°)
5.76806300625321e+001	(1.26323439021989e+000dB,-1.08469000489253e+001°)
5.90241845333277e+001	(1.23659314089789e+000dB,-1.08064747496646e+001°)
6.03990344080403e+001	(1.20991845611711e+000dB,-1.07665142560384e+001°)
6.18059086502718e+001	(1.18318791093607e+000dB,-1.07269487245174e+001°)
6.32455532033675e+001	(1.15637959239325e+000dB,-1.06876956418689e+001°)
6.47187313859256e+001	(1.12947221919304e+000dB,-1.06486598438768e+001°)
6.62262242965182e+001	(1.10244526436941e+000dB,-1.06097335671602e+001°)
6.77688312278404e+001	(1.07527908104974e+000dB,-1.05707965370388e+001°)
6.93473700905062e+001	(1.04795503140204e+000dB,-1.05317160948020e+001°)
7.09626778467150e+001	(1.02045561879750e+000dB,-1.04923473681737e+001°)
7.26156109540202e+001	(9.92764623159295e-001dB,-1.04525334891562e+001°)
7.43070458194344e+001	(9.64867239397381e-001dB,-1.04121058638121e+001°)
7.60378792641121e+001	(9.36750218745390e-001dB,-1.03708844988967e+001°)
7.78090289988560e+001	(9.08402012723585e-001dB,-1.03286783905405e+001°)
7.96214341106993e+001	(8.79812919344743e-001dB,-1.02852859804480e+001°)
8.14760555608224e+001	(8.50975231066100e-001dB,-1.02404956852559e+001°)
8.33738766940670e+001	(8.21883383862631e-001dB,-1.01940865048066e+001°)
8.53159037603184e+001	(7.92534106659641e-001dB,-1.01458287151272e+001°)
8.73031664480331e+001	(7.62926570217808e-001dB,-1.00954846518180e+001°)
8.93367184301925e+001	(7.33062534407278e-001dB,-1.00428095893734e+001°)
9.14176379229749e+001	(7.02946492646152e-001dB,-9.98755272163305e+000°)
9.35470282574395e+001	(6.72585812111675e-001dB,-9.92945824810056e+000°)
9.57260184645275e+001	(6.41990868160869e-001dB,-9.86826657024705e+000°)
9.79557638736891e+001	(6.11175171227595e-001dB,-9.80371560111590e+000°)
1.00237446725454e+002	(5.80155484293074e-001dB,-9.73554219057563e+000°)
1.02572276798273e+002	(5.48951928866416e-001dB,-9.66348366737899e+000°)
1.04961492049954e+002	(5.17588077258299e-001dB,-9.58727949781061e+000°)
1.07406359274050e+002	(4.86091028795752e-001dB,-9.50667305910957e+000°)
1.09908174771525e+002	(4.54491467509049e-001dB,-9.42141352403478e+000°)
1.12468265038070e+002	(4.22823698734079e-001dB,-9.33125785092512e+000°)
1.15087987467431e+002	(3.91125662014039e-001dB,-9.23597287137188e+000°)
1.17768731071118e+002	(3.59438917669080e-001dB,-9.13533746520688e+000°)
1.20511917214871e+002	(3.27808604429547e-001dB,-9.02914480992161e+000°)
1.23319000372296e+002	(2.96283365610105e-001dB,-8.91720468891000e+000°)
1.26191468896038e+002	(2.64915241442243e-001dB,-8.79934584011601e+000°)
