Freq.	(-V(vs)*1000/(V(vi)-V(vs)))-1000
4.58173530553553e+002	(5.19480697472980e+001dB,-3.40650545701620e+001°)
4.68845763063983e+002	(5.17755308405981e+001dB,-3.50829412783683e+001°)
4.79766583803896e+002	(5.15848047500155e+001dB,-3.60620941037807e+001°)
4.90941783137004e+002	(5.13755591743303e+001dB,-3.69868212816580e+001°)
5.02377286301914e+002	(5.11477975817016e+001dB,-3.78399928269604e+001°)
5.14079156553771e+002	(5.09019260982847e+001dB,-3.86033457709387e+001°)
5.26053598379074e+002	(5.06388156575327e+001dB,-3.92579101469068e+001°)
5.38306960785381e+002	(5.03598546550758e+001dB,-3.97845579048568e+001°)
5.50845740667631e+002	(5.00669869054679e+001dB,-4.01646695704484e+001°)
5.63676586252888e+002	(4.97627294266179e+001dB,-4.03809049378633e+001°)
5.76806300625319e+002	(4.94501645072668e+001dB,-4.04180541539328e+001°)
5.90241845333275e+002	(4.91329007311019e+001dB,-4.02639337173767e+001°)
6.03990344080401e+002	(4.88149983474253e+001dB,-3.99102777991739e+001°)
6.18059086502716e+002	(4.85008559383425e+001dB,-3.93535593333270e+001°)
6.32455532033673e+002	(4.81950581464784e+001dB,-3.85956597054648e+001°)
6.47187313859254e+002	(4.79021885801358e+001dB,-3.76442951201070e+001°)
6.62262242965179e+002	(4.76266177762497e+001dB,-3.65131084694824e+001°)
6.77688312278402e+002	(4.73722824595509e+001dB,-3.52213546229622e+001°)
6.93473700905060e+002	(4.71424777185592e+001dB,-3.37931482942921e+001°)
7.09626778467148e+002	(4.69396861314848e+001dB,-3.22563040590099e+001°)
7.26156109540200e+002	(4.67654656526781e+001dB,-3.06408661625929e+001°)
7.43070458194342e+002	(4.66204107730918e+001dB,-2.89774835762484e+001°)
7.60378792641119e+002	(4.65041904104322e+001dB,-2.72958153921432e+001°)
7.78090289988558e+002	(4.64156539627393e+001dB,-2.56231429586706e+001°)
7.96214341106991e+002	(4.63529871970998e+001dB,-2.39833206554011e+001°)
8.14760555608222e+002	(4.63138944961051e+001dB,-2.23961309882573e+001°)
8.33738766940667e+002	(4.62957841011349e+001dB,-2.08770410379830e+001°)
8.53159037603181e+002	(4.62959373499266e+001dB,-1.94373028698364e+001°)
8.73031664480328e+002	(4.63116495230083e+001dB,-1.80843091377123e+001°)
8.93367184301922e+002	(4.63403367545091e+001dB,-1.68221070330544e+001°)
9.14176379229746e+002	(4.63796090841162e+001dB,-1.56519832478344e+001°)
9.35470282574392e+002	(4.64273134833402e+001dB,-1.45730518917713e+001°)
9.57260184645272e+002	(4.64815525974085e+001dB,-1.35827993018190e+001°)
9.79557638736888e+002	(4.65406854009047e+001dB,-1.26775596594097e+001°)
1.00237446725454e+003	(4.66033154845682e+001dB,-1.18529109536032e+001°)
1.02572276798272e+003	(4.66682717336165e+001dB,-1.11039915922287e+001°)
1.04961492049954e+003	(4.67345850603180e+001dB,-1.04257444347717e+001°)
1.07406359274050e+003	(4.68014638196808e+001dB,-9.81309820562139e+000°)
1.09908174771524e+003	(4.68682696664751e+001dB,-9.26109718519093e+000°)
1.12468265038069e+003	(4.69344949336586e+001dB,-8.76498964516599e+000°)
1.15087987467431e+003	(4.69997421159970e+001dB,-8.32028434149226e+000°)
1.17768731071117e+003	(4.70637056994630e+001dB,-7.92278293956424e+000°)
1.20511917214871e+003	(4.71261563531759e+001dB,-7.56859478506511e+000°)
1.23319000372296e+003	(4.71869273647861e+001dB,-7.25413909411850e+000°)
