freq,amp,phase
4.36515832240164e+003,-2.57550238144299e-001,-4.14359880257185e+001
4.46683592150961e+003,-2.66344848564729e-001,-4.23964163255096e+001
4.57088189614873e+003,-2.75305105505671e-001,-4.33801016745969e+001
4.67735141287196e+003,-2.84424657634048e-001,-4.43877797995560e+001
4.78630092322636e+003,-2.93696809005740e-001,-4.54202305401539e+001
4.89778819368444e+003,-3.03114674611625e-001,-4.64782819800651e+001
5.01187233627270e+003,-3.12671383617753e-001,-4.75628149739322e+001
5.12861383991362e+003,-3.22360339775079e-001,-4.86747681000881e+001
5.24807460249770e+003,-3.32175550107982e-001,-4.98151430680204e+001
5.37031796370250e+003,-3.42112034882739e-001,-5.09850106085000e+001
5.49540873857622e+003,-3.52166334053124e-001,-5.21855168721109e+001
5.62341325190346e+003,-3.62337127907788e-001,-5.34178903578328e+001
5.75439937337154e+003,-3.72625992560576e-001,-5.46834493874986e+001
5.88843655355586e+003,-3.83038314257500e-001,-5.59836101329144e+001
6.02559586074354e+003,-3.93584390274516e-001,-5.73198951900409e+001
6.16595001861479e+003,-4.04280748475327e-001,-5.86939426773219e+001
6.30957344480190e+003,-4.15151722408234e-001,-6.01075158118487e+001
6.45654229034652e+003,-4.26231324141353e-001,-6.15625128858216e+001
6.60693448007592e+003,-4.37565462826782e-001,-6.30609775246343e+001
6.76082975391978e+003,-4.49214563133527e-001,-6.46051090540692e+001
6.91830970918932e+003,-4.61256644031443e-001,-6.61972727349152e+001
7.07945784384134e+003,-4.73790924594987e-001,-6.78400095343688e+001
7.24435960074986e+003,-4.86942029075915e-001,-6.95360449914121e+001
7.41310241300913e+003,-5.00864867696252e-001,-7.12882965925294e+001
7.58577575029179e+003,-5.15750271392111e-001,-7.30998788999565e+001
7.76247116628687e+003,-5.31831456582168e-001,-7.49741054620617e+001
7.94328234724277e+003,-5.49391387867909e-001,-7.69144862801658e+001
8.12830516164094e+003,-5.68771089651598e-001,-7.89247193062800e+001
8.31763771102666e+003,-5.90378928381170e-001,-8.10086741031388e+001
8.51138038202371e+003,-6.14700841013448e-001,-8.31703654198129e+001
8.70963589956075e+003,-6.42311416936712e-001,-8.54139140410412e+001
8.91250938133740e+003,-6.73885643966749e-001,-8.77434918895930e+001
9.12010839355904e+003,-7.10210997887010e-001,-9.01632480520568e+001
9.33254300796985e+003,-7.52199384024833e-001,-9.26772122403986e+001
9.54992586021430e+003,-8.00898225980840e-001,-9.52891723096688e+001
9.77237220955804e+003,-8.57499743437317e-001,-9.80025229746057e+001
9.99999999999993e+003,-9.23347179898243e-001,-1.00820083987763e+002
1.02329299228075e+004,-9.99936457330222e-001,-1.03743887953151e+002
1.04712854805089e+004,-1.08891149134054e+000,-1.06774940827985e+002
1.07151930523760e+004,-1.19205126171462e+000,-1.09912962102365e+002
1.09647819614318e+004,-1.31124678261715e+000,-1.13156116567902e+002
1.12201845430196e+004,-1.44846644891003e+000,-1.16500755145855e+002
1.14815362149688e+004,-1.60570893611617e+000,-1.19941187742226e+002
1.17489755493952e+004,-1.78494394779364e+000,-1.23469515439028e+002
1.20226443461740e+004,-1.98804260437980e+000,-1.27075551131031e+002
1.23026877081237e+004,-2.21670100745821e+000,-1.30746855548428e+002
1.25892541179416e+004,-2.47236222295668e+000,-1.34468908434780e+002
1.28824955169313e+004,-2.75614323840344e+000,-1.38225422347103e+002
1.31825673855640e+004,-3.06877397669928e+000,-1.41998790288667e+002
1.34896288259164e+004,-3.41055490571726e+000,-1.45770640723385e+002
1.38038426460288e+004,-3.78133810143557e+000,-1.49522457924173e+002
1.41253754462274e+004,-4.18053401956934e+000,-1.53236215559850e+002
1.44543977074592e+004,-4.60714318084146e+000,-1.56894969333930e+002
1.47910838816820e+004,-5.05980908407093e+000,-1.60483360870235e+002
1.51356124843620e+004,-5.53688648727753e+000,-1.63987998335951e+002
1.54881661891247e+004,-6.03651809255985e+000,-1.67397696412191e+002
1.58489319246110e+004,-6.55671270256697e+000,-1.70703575553826e+002
1.62181009735892e+004,-7.09541889244309e+000,-1.73899034939644e+002
1.65958690743755e+004,-7.65058980681119e+000,-1.76979623236149e+002
1.69824365246173e+004,-8.22023645777766e+000,-1.79942835812006e+002
1.73780082874936e+004,-8.80246854252158e+000,1.77212132997234e+002
1.77827941003891e+004,-9.39552311212483e+000,1.74484657265314e+002
1.81970085860997e+004,-9.99778232427449e+000,1.71872946277644e+002
1.86208713666285e+004,-1.06077820146367e+001,1.69374296185732e+002
1.90546071796323e+004,-1.12242129968671e+001,1.66985317234298e+002
1.94984459975803e+004,-1.18459169424471e+001,1.64702131720039e+002
1.99526231496887e+004,-1.24718784898302e+001,1.62520541230228e+002
2.04173794466951e+004,-1.31012149616635e+001,1.60436164072079e+002
2.08929613085402e+004,-1.37331647823890e+001,1.58444545283870e+002
2.13796208950222e+004,-1.43670754197279e+001,1.56541242407544e+002
2.18776162394954e+004,-1.50023914401437e+001,1.54721890490968e+002
2.23872113856832e+004,-1.56386430770451e+001,1.52982249743308e+002
2.29086765276776e+004,-1.62754355606085e+001,1.51318239019568e+002
2.34422881531990e+004,-1.69124393455972e+001,1.49725957957732e+002
2.39883291901947e+004,-1.75493812923257e+001,1.48201700200039e+002
2.45470891568501e+004,-1.81860367998157e+001,1.46741959741075e+002
2.51188643150956e+004,-1.88222228533950e+001,1.45343432084307e+002
2.57039578276884e+004,-1.94577919266650e+001,1.44003011568225e+002
2.63026799189536e+004,-2.00926266657274e+001,1.42717785946729e+002
2.69153480392689e+004,-2.07266352788607e+001,1.41485029076562e+002
2.75422870333814e+004,-2.13597475549072e+001,1.40302192372816e+002
2.81838293126443e+004,-2.19919114368404e+001,1.39166895537904e+002
2.88403150312658e+004,-2.26230900819807e+001,1.38076916944561e+002
2.95120922666636e+004,-2.32532593463074e+001,1.37030183954505e+002
3.01995172040199e+004,-2.38824056365650e+001,1.36024763376488e+002
3.09029543251357e+004,-2.45105240801477e+001,1.35058852207478e+002
3.16227766016835e+004,-2.51376169686501e+001,1.34130768753954e+002
3.23593656929626e+004,-2.57636924365110e+001,1.33238944195279e+002
3.31131121482588e+004,-2.63887633411647e+001,1.32381914624382e+002
3.38844156139200e+004,-2.70128463156220e+001,1.31558313581413e+002
3.46736850452529e+004,-2.76359609683716e+001,1.30766865081686e+002
3.54813389233573e+004,-2.82581292089778e+001,1.30006377128790e+002
3.63078054770098e+004,-2.88793746808325e+001,1.29275735697026e+002
3.71535229097169e+004,-2.94997222851282e+001,1.28573899162207e+002
3.80189396320558e+004,-3.01191977824479e+001,1.27899893157337e+002
3.89045144994277e+004,-3.07378274603121e+001,1.27252805827790e+002
3.98107170553494e+004,-3.13556378567406e+001,1.26631783460311e+002
4.07380277804109e+004,-3.19726555313301e+001,1.26036026460063e+002
4.16869383470332e+004,-3.25889068766005e+001,1.25464785650683e+002
4.26579518801589e+004,-3.32044179634292e+001,1.24917358873251e+002
4.36515832240162e+004,-3.38192144152982e+001,1.24393087861202e+002
4.46683592150959e+004,-3.44333213068636e+001,1.23891355369584e+002
4.57088189614871e+004,-3.50467630830168e+001,1.23411582538386e+002
4.67735141287194e+004,-3.56595634951681e+001,1.22953226471063e+002
4.78630092322634e+004,-3.62717455519782e+001,1.22515778010770e+002
4.89778819368442e+004,-3.68833314821568e+001,1.22098759698100e+002
5.01187233627268e+004,-3.74943427073172e+001,1.21701723895445e+002
5.12861383991360e+004,-3.81047998231560e+001,1.21324251064265e+002
5.24807460249768e+004,-3.87147225874967e+001,1.20965948182679e+002
5.37031796370248e+004,-3.93241299139393e+001,1.20626447291868e+002
5.49540873857620e+004,-3.99330398700569e+001,1.20305404160770e+002
5.62341325190344e+004,-4.05414696792195e+001,1.20002497059363e+002
5.75439937337152e+004,-4.11494357252778e+001,1.19717425631826e+002
5.88843655355584e+004,-4.17569535594394e+001,1.19449909861509e+002
6.02559586074352e+004,-4.23640379087702e+001,1.19199689120342e+002
6.16595001861477e+004,-4.29707026858404e+001,1.18966521296094e+002
6.30957344480187e+004,-4.35769609990963e+001,1.18750181991320e+002
6.45654229034650e+004,-4.41828251636044e+001,1.18550463788470e+002
6.60693448007590e+004,-4.47883067118592e+001,1.18367175576128e+002
6.76082975391975e+004,-4.53934164043877e+001,1.18200141931692e+002
6.91830970918930e+004,-4.59981642399267e+001,1.18049202556412e+002
7.07945784384131e+004,-4.66025594649608e+001,1.17914211758812e+002
7.24435960074983e+004,-4.72066105824556e+001,1.17795037983131e+002
7.41310241300911e+004,-4.78103253596169e+001,1.17691563379490e+002
7.58577575029177e+004,-4.84137108345411e+001,1.17603683412938e+002
7.76247116628685e+004,-4.90167733216239e+001,1.17531306508675e+002
7.94328234724274e+004,-4.96195184156069e+001,1.17474353731051e+002
8.12830516164092e+004,-5.02219509941499e+001,1.17432758494058e+002
8.31763771102663e+004,-5.08240752188189e+001,1.17406466301334e+002
8.51138038202369e+004,-5.14258945343857e+001,1.17395434513736e+002
8.70963589956073e+004,-5.20274116663319e+001,1.17399632142782e+002
8.91250938133737e+004,-5.26286286164546e+001,1.17419039668352e+002
9.12010839355901e+004,-5.32295466564628e+001,1.17453648879134e+002
9.33254300796982e+004,-5.38301663194568e+001,1.17503462734459e+002
9.54992586021427e+004,-5.44304873891720e+001,1.17568495246183e+002
9.77237220955802e+004,-5.50305088868668e+001,1.17648771379402e+002
9.99999999999991e+004,-5.56302290557251e+001,1.17744326970814e+002
1.02329299228074e+005,-5.62296453426376e+001,1.17855208663578e+002
1.04712854805089e+005,-5.68287543772157e+001,1.17981473857584e+002
1.07151930523760e+005,-5.74275519478831e+001,1.18123190674021e+002
1.09647819614317e+005,-5.80260329748781e+001,1.18280437933164e+002
1.12201845430195e+005,-5.86241914799909e+001,1.18453305144268e+002
1.14815362149687e+005,-5.92220205528450e+001,1.18641892506435e+002
1.17489755493952e+005,-5.98195123135198e+001,1.18846310919279e+002
1.20226443461740e+005,-6.04166578713007e+001,1.19066682002141e+002
1.23026877081237e+005,-6.10134472793247e+001,1.19303138120528e+002
1.25892541179416e+005,-6.16098694848790e+001,1.19555822418369e+002
1.28824955169312e+005,-6.22059122750936e+001,1.19824888854524e+002
1.31825673855639e+005,-6.28015622177561e+001,1.20110502241865e+002
1.34896288259164e+005,-6.33968045969587e+001,1.20412838287072e+002
1.38038426460287e+005,-6.39916233432806e+001,1.20732083629101e+002
1.41253754462274e+005,-6.45860009581871e+001,1.21068435874026e+002
1.44543977074591e+005,-6.51799184323229e+001,1.21422103623750e+002
1.47910838816819e+005,-6.57733551573588e+001,1.21793306495745e+002
1.51356124843619e+005,-6.63662888310505e+001,1.22182275130697e+002
1.54881661891247e+005,-6.69586953551540e+001,1.22589251184554e+002
1.58489319246110e+005,-6.75505487258482e+001,1.23014487301048e+002
1.62181009735891e+005,-6.81418209163084e+001,1.23458247060376e+002
1.65958690743754e+005,-6.87324817510897e+001,1.23920804899182e+002
1.69824365246173e+005,-6.93224987719853e+001,1.24402445996458e+002
1.73780082874936e+005,-6.99118370950510e+001,1.24903466119419e+002
1.77827941003890e+005,-7.05004592585145e+001,1.25424171422733e+002
1.81970085860996e+005,-7.10883250613282e+001,1.25964878193839e+002
1.86208713666285e+005,-7.16753913921801e+001,1.26525912536325e+002
1.90546071796323e+005,-7.22616120488425e+001,1.27107609982568e+002
1.94984459975802e+005,-7.28469375478258e+001,1.27710315026029e+002
1.99526231496886e+005,-7.34313149244056e+001,1.28334380562692e+002
2.04173794466951e+005,-7.40146875232229e+001,1.28980167230324e+002
2.08929613085402e+005,-7.45969947798046e+001,1.29648042633262e+002
2.13796208950221e+005,-7.51781719935342e+001,1.30338380439566e+002
2.18776162394953e+005,-7.57581500928145e+001,1.31051559336518e+002
2.23872113856832e+005,-7.63368553934090e+001,1.31787961829553e+002
2.29086765276775e+005,-7.69142093512357e+001,1.32547972869038e+002
2.34422881531990e+005,-7.74901283112098e+001,1.33331978288601e+002
2.39883291901946e+005,-7.80645232541022e+001,1.34140363038267e+002
2.45470891568500e+005,-7.86372995437959e+001,1.34973509195424e+002
2.51188643150955e+005,-7.92083566777811e+001,1.35831793736577e+002
2.57039578276884e+005,-7.97775880442378e+001,1.36715586053301e+002
2.63026799189535e+005,-8.03448806896102e+001,1.37625245196514e+002
2.69153480392689e+005,-8.09101151011643e+001,1.38561116834536e+002
2.75422870333814e+005,-8.14731650096554e+001,1.39523529912292e+002
2.81838293126442e+005,-8.20338972178810e+001,1.40512793001639e+002
2.88403150312657e+005,-8.25921714615656e+001,1.41529190336226e+002
2.95120922666635e+005,-8.31478403096857e+001,1.42572977528640e+002
3.01995172040198e+005,-8.37007491119824e+001,1.43644376972944e+002
3.09029543251356e+005,-8.42507360019967e+001,1.44743572942155e+002
3.16227766016834e+005,-8.47976319644638e+001,1.45870706397792e+002
3.23593656929625e+005,-8.53412609762916e+001,1.47025869537401e+002
3.31131121482587e+005,-8.58814402305610e+001,1.48209100115903e+002
3.38844156139199e+005,-8.64179804530083e+001,1.49420375587629e+002
3.46736850452528e+005,-8.69506863201962e+001,1.50659607127922e+002
3.54813389233571e+005,-8.74793569880329e+001,1.51926633605939e+002
3.63078054770097e+005,-8.80037867383836e+001,1.53221215593480e+002
3.71535229097168e+005,-8.85237657502098e+001,1.54543029507987e+002
3.80189396320557e+005,-8.90390809999182e+001,1.55891662000628e+002
3.89045144994276e+005,-8.95495172933879e+001,1.57266604712256e+002
3.98107170553493e+005,-9.00548584294657e+001,1.58667249530083e+002
4.07380277804108e+005,-9.05548884915827e+001,1.60092884485582e+002
4.16869383470331e+005,-9.10493932606064e+001,1.61542690438544e+002
4.26579518801588e+005,-9.15381617381590e+001,1.63015738692616e+002
4.36515832240161e+005,-9.20209877655288e+001,1.64510989683347e+002
4.46683592150958e+005,-9.24976717190939e+001,1.66027292870106e+002
4.57088189614870e+005,-9.29680222590554e+001,1.67563387947873e+002
4.67735141287193e+005,-9.34318581044137e+001,1.69117907473581e+002
4.78630092322633e+005,-9.38890098037419e+001,1.70689380974583e+002
4.89778819368440e+005,-9.43393214686151e+001,1.72276240574395e+002
5.01187233627266e+005,-9.47826524347529e+001,1.73876828133910e+002
5.12861383991359e+005,-9.52188788152047e+001,1.75489403866060e+002
5.24807460249766e+005,-9.56478949103831e+001,1.77112156339861e+002
5.37031796370246e+005,-9.60696144415215e+001,1.78743213747766e+002
5.49540873857618e+005,-9.64839715772096e+001,-1.79619343729879e+002
5.62341325190342e+005,-9.68909217269771e+001,-1.77977470665673e+002
5.75439937337150e+005,-9.72904420813366e+001,-1.76333142464115e+002
5.88843655355582e+005,-9.76825318840314e+001,-1.74688341034527e+002
6.02559586074350e+005,-9.80672124292200e+001,-1.73045040328113e+002
6.16595001861474e+005,-9.84445267836333e+001,-1.71405192014164e+002
