Freq.	(-V(vs)*1000/(V(vi)-V(vs)))-1000
7.43070458194342e+002	(5.30035234438667e+001dB,-2.57855331264486e+001°)
7.60378792641119e+002	(5.29589614385575e+001dB,-2.56174522391335e+001°)
7.78090289988558e+002	(5.29148279554709e+001dB,-2.54556698313733e+001°)
7.96214341106991e+002	(5.28710725636529e+001dB,-2.53001668229099e+001°)
8.14760555608222e+002	(5.28276453762893e+001dB,-2.51509084104452e+001°)
8.33738766940667e+002	(5.27844971468669e+001dB,-2.50078442762555e+001°)
8.53159037603181e+002	(5.27415793647304e+001dB,-2.48709088113528e+001°)
8.73031664480328e+002	(5.26988443502264e+001dB,-2.47400213539611e+001°)
8.93367184301922e+002	(5.26562453496020e+001dB,-2.46150864443653e+001°)
9.14176379229746e+002	(5.26137366297984e+001dB,-2.44959940974691e+001°)
9.35470282574392e+002	(5.25712735732441e+001dB,-2.43826200946504e+001°)
9.57260184645272e+002	(5.25288127727131e+001dB,-2.42748262967245e+001°)
9.79557638736888e+002	(5.24863121262685e+001dB,-2.41724609800247e+001°)
1.00237446725454e+003	(5.24437309322619e+001dB,-2.40753591977644e+001°)
1.02572276798272e+003	(5.24010299843040e+001dB,-2.39833431689634e+001°)
1.04961492049954e+003	(5.23581716660673e+001dB,-2.38962226972947e+001°)
1.07406359274050e+003	(5.23151200457175e+001dB,-2.38137956222373e+001°)
1.09908174771524e+003	(5.22718409697114e+001dB,-2.37358483048908e+001°)
1.12468265038069e+003	(5.22283021556342e+001dB,-2.36621561507363e+001°)
1.15087987467431e+003	(5.21844732836836e+001dB,-2.35924841714873e+001°)
1.17768731071117e+003	(5.21403260863488e+001dB,-2.35265875879882e+001°)
1.20511917214871e+003	(5.20958344357672e+001dB,-2.34642124758665e+001°)
1.23319000372296e+003	(5.20509744281872e+001dB,-2.34050964553344e+001°)
1.26191468896038e+003	(5.20057244649070e+001dB,-2.33489694261729e+001°)
1.29130845806930e+003	(5.19600653290149e+001dB,-2.32955543485065e+001°)
1.32138689601518e+003	(5.19139802572109e+001dB,-2.32445680695051e+001°)
1.35216595078396e+003	(5.18674550059566e+001dB,-2.31957221956218e+001°)
1.38366194183787e+003	(5.18204779111736e+001dB,-2.31487240094128e+001°)
1.41589156876827e+003	(5.17730399406963e+001dB,-2.31032774293766e+001°)
1.44887192014997e+003	(5.17251347386766e+001dB,-2.30590840106169e+001°)
1.48262048260183e+003	(5.16767586611495e+001dB,-2.30158439834780e+001°)
1.51715515005836e+003	(5.16279108019845e+001dB,-2.29732573266315e+001°)
1.55249423325738e+003	(5.15785930084794e+001dB,-2.29310248704255e+001°)
1.58865646944855e+003	(5.15288098859018e+001dB,-2.28888494256456e+001°)
1.62566103232819e+003	(5.14785687903385e+001dB,-2.28464369322015e+001°)
1.66352754220533e+003	(5.14278798092882e+001dB,-2.28034976216432e+001°)
1.70227607640474e+003	(5.13767557295150e+001dB,-2.27597471868547e+001°)
1.74192717991215e+003	(5.13252119917782e+001dB,-2.27149079517690e+001°)
1.78250187626748e+003	(5.12732666321626e+001dB,-2.26687100335133e+001°)
1.82402167871181e+003	(5.12209402098491e+001dB,-2.26208924890395e+001°)
1.86650860159397e+003	(5.11682557212929e+001dB,-2.25712044380300e+001°)
1.90998517204286e+003	(5.11152385009115e+001dB,-2.25194061537011e+001°)
1.95447444191161e+003	(5.10619161085170e+001dB,-2.24652701130615e+001°)
1.99999999999999e+003	(5.10083182038757e+001dB,-2.24085819982339e+001°)
2.04658598456150e+003	(5.09544764089114e+001dB,-2.23491416406045e+001°)
2.09425709610179e+003	(5.09004241582143e+001dB,-2.22867638998439e+001°)
2.14303861047520e+003	(5.08461965386501e+001dB,-2.22212794702279e+001°)
2.19295639228636e+003	(5.07918301189933e+001dB,-2.21525356071922e+001°)
2.24403690860391e+003	(5.07373627706314e+001dB,-2.20803967676558e+001°)
2.29630724299375e+003	(5.06828334804940e+001dB,-2.20047451583551e+001°)
2.34979510987905e+003	(5.06282821574605e+001dB,-2.19254811872252e+001°)
2.40452886923481e+003	(5.05737494335820e+001dB,-2.18425238137332e+001°)
2.46053754162475e+003	(5.05192764615196e+001dB,-2.17558107950095e+001°)
2.51785082358832e+003	(5.04649047096523e+001dB,-2.16652988256074e+001°)
2.57649910338625e+003	(5.04106757563377e+001dB,-2.15709635697497e+001°)
2.63651347711280e+003	(5.03566310848223e+001dB,-2.14727995859586e+001°)
2.69792576518329e+003	(5.03028118802926e+001dB,-2.13708201450209e+001°)
2.76076852920575e+003	(5.02492588305313e+001dB,-2.12650569432657e+001°)
2.82507508924549e+003	(5.01960119315999e+001dB,-2.11555597141457e+001°)
2.89087954149184e+003	(5.01431102999096e+001dB,-2.10423957420644e+001°)
2.95821677633640e+003	(5.00905919919606e+001dB,-2.09256492833018e+001°)
3.02712249687240e+003	(5.00384938329412e+001dB,-2.08054208997091e+001°)
3.09763323782494e+003	(4.99868512552673e+001dB,-2.06818267115943e+001°)
3.16978638492221e+003	(4.99356981480289e+001dB,-2.05549975768628e+001°)
3.24362019471784e+003	(4.98850667181792e+001dB,-2.04250782040267e+001°)
3.31917381487510e+003	(4.98349873641699e+001dB,-2.02922262071287e+001°)
3.39648730492347e+003	(4.97854885625924e+001dB,-2.01566111109542e+001°)
3.47560165749873e+003	(4.97365967682478e+001dB,-2.00184133151084e+001°)
3.55655882007782e+003	(4.96883363279196e+001dB,-1.98778230256351e+001°)
3.63940171721994e+003	(4.96407294079847e+001dB,-1.97350391628325e+001°)
3.72417427332571e+003	(4.95937959358629e+001dB,-1.95902682537980e+001°)
3.81092143592647e+003	(4.95475535551673e+001dB,-1.94437233180083e+001°)
3.89968919951606e+003	(4.95020175943023e+001dB,-1.92956227539215e+001°)
3.99052462993773e+003	(4.94572010481338e+001dB,-1.91461892341850e+001°)
4.08347588933903e+003	(4.94131145722576e+001dB,-1.89956486165573e+001°)
4.17859226170805e+003	(4.93697664892956e+001dB,-1.88442288771073e+001°)
