Freq.	V(vo)
1.86650860159397e+003	(4.43725998992565e+000dB,-1.66265433973787e-001°)
1.90998517204286e+003	(4.43727061202230e+000dB,-1.70198639054440e-001°)
1.95447444191161e+003	(4.43728133748191e+000dB,-1.74224469102661e-001°)
1.99999999999999e+003	(4.43729216705170e+000dB,-1.78345051266820e-001°)
2.04658598456150e+003	(4.43730310203101e+000dB,-1.82562561667618e-001°)
2.09425709610179e+003	(4.43731414430058e+000dB,-1.86879226808378e-001°)
2.14303861047520e+003	(4.43732529634982e+000dB,-1.91297325027890e-001°)
2.19295639228636e+003	(4.43733656130139e+000dB,-1.95819187994223e-001°)
2.24403690860391e+003	(4.43734794293370e+000dB,-2.00447202239481e-001°)
2.29630724299375e+003	(4.43735944570055e+000dB,-2.05183810734727e-001°)
2.34979510987905e+003	(4.43737107474849e+000dB,-2.10031514504129e-001°)
2.40452886923481e+003	(4.43738283593142e+000dB,-2.14992874278213e-001°)
2.46053754162475e+003	(4.43739473582272e+000dB,-2.20070512185640e-001°)
2.51785082358832e+003	(4.43740678172477e+000dB,-2.25267113482954e-001°)
2.57649910338625e+003	(4.43741898167598e+000dB,-2.30585428322516e-001°)
2.63651347711280e+003	(4.43743134445535e+000dB,-2.36028273558128e-001°)
2.69792576518329e+003	(4.43744387958452e+000dB,-2.41598534588810e-001°)
2.76076852920575e+003	(4.43745659732758e+000dB,-2.47299167240753e-001°)
2.82507508924549e+003	(4.43746950868845e+000dB,-2.53133199687521e-001°)
2.89087954149184e+003	(4.43748262540605e+000dB,-2.59103734409876e-001°)
2.95821677633640e+003	(4.43749595994730e+000dB,-2.65213950194608e-001°)
3.02712249687240e+003	(4.43750952549786e+000dB,-2.71467104174602e-001°)
3.09763323782494e+003	(4.43752333595084e+000dB,-2.77866533909689e-001°)
3.16978638492221e+003	(4.43753740589334e+000dB,-2.84415659510245e-001°)
3.24362019471784e+003	(4.43755175059089e+000dB,-2.91117985804296e-001°)
3.31917381487510e+003	(4.43756638596974e+000dB,-2.97977104549136e-001°)
3.39648730492347e+003	(4.43758132859707e+000dB,-3.04996696689284e-001°)
3.47560165749873e+003	(4.43759659565892e+000dB,-3.12180534661421e-001°)
3.55655882007782e+003	(4.43761220493585e+000dB,-3.19532484748082e-001°)
3.63940171721994e+003	(4.43762817477632e+000dB,-3.27056509481400e-001°)
3.72417427332571e+003	(4.43764452406735e+000dB,-3.34756670097986e-001°)
3.81092143592647e+003	(4.43766127220282e+000dB,-3.42637129046686e-001°)
3.89968919951606e+003	(4.43767843904877e+000dB,-3.50702152550045e-001°)
3.99052462993773e+003	(4.43769604490585e+000dB,-3.58956113220727e-001°)
4.08347588933903e+003	(4.43771411046850e+000dB,-3.67403492734377e-001°)
4.17859226170805e+003	(4.43773265678079e+000dB,-3.76048884559397e-001°)
4.27592417900444e+003	(4.43775170518861e+000dB,-3.84896996744915e-001°)
4.37552324789908e+003	(4.43777127728795e+000dB,-3.93952654767031e-001°)
4.47744227713665e+003	(4.43779139486906e+000dB,-4.03220804434843e-001°)
4.58173530553552e+003	(4.43781207985613e+000dB,-4.12706514855567e-001°)
4.68845763063981e+003	(4.43783335424233e+000dB,-4.22414981459577e-001°)
4.79766583803895e+003	(4.43785524001979e+000dB,-4.32351529085082e-001°)
4.90941783137003e+003	(4.43787775910431e+000dB,-4.42521615122012e-001°)
5.02377286301913e+003	(4.43790093325454e+000dB,-4.52930832714725e-001°)
5.14079156553769e+003	(4.43792478398527e+000dB,-4.63584914022747e-001°)
5.26053598379073e+003	(4.43794933247470e+000dB,-4.74489733538376e-001°)
5.38306960785379e+003	(4.43797459946532e+000dB,-4.85651311459778e-001°)
5.50845740667629e+003	(4.43800060515828e+000dB,-4.97075817118081e-001°)
5.63676586252887e+003	(4.43802736910102e+000dB,-5.08769572456706e-001°)
5.76806300625317e+003	(4.43805491006805e+000dB,-5.20739055560599e-001°)
5.90241845333273e+003	(4.43808324593476e+000dB,-5.32990904232941e-001°)
6.03990344080399e+003	(4.43811239354421e+000dB,-5.45531919617163e-001°)
6.18059086502713e+003	(4.43814236856696e+000dB,-5.58369069860927e-001°)
6.32455532033671e+003	(4.43817318535387e+000dB,-5.71509493819461e-001°)
6.47187313859252e+003	(4.43820485678229e+000dB,-5.84960504794975e-001°)
6.62262242965177e+003	(4.43823739409549e+000dB,-5.98729594308911e-001°)
6.77688312278400e+003	(4.43827080673606e+000dB,-6.12824435903804e-001°)
6.93473700905058e+003	(4.43830510217332e+000dB,-6.27252888971393e-001°)
7.09626778467146e+003	(4.43834028572549e+000dB,-6.42023002603913e-001°)
7.26156109540197e+003	(4.43837636037707e+000dB,-6.57143019465351e-001°)
7.43070458194339e+003	(4.43841332659225e+000dB,-6.72621379679898e-001°)
7.60378792641117e+003	(4.43845118212508e+000dB,-6.88466724735200e-001°)
7.78090289988555e+003	(4.43848992182740e+000dB,-7.04687901397992e-001°)
7.96214341106988e+003	(4.43852953745541e+000dB,-7.21293965640890e-001°)
8.14760555608219e+003	(4.43857001747630e+000dB,-7.38294186579056e-001°)
8.33738766940664e+003	(4.43861134687579e+000dB,-7.55698050416683e-001°)
