Freq.	V(br)
8.12830516164094e+003	(-6.60359197430479e-001dB,1.97850643705570e+001°)
8.31763771102666e+003	(-6.29015732975530e-001dB,1.93137350607154e+001°)
8.51138038202371e+003	(-5.98964893637905e-001dB,1.88491346339762e+001°)
8.70963589956075e+003	(-5.70159501328403e-001dB,1.83912203024701e+001°)
8.91250938133740e+003	(-5.42553787699923e-001dB,1.79399422019717e+001°)
9.12010839355904e+003	(-5.16103380284173e-001dB,1.74952438128253e+001°)
9.33254300796985e+003	(-4.90765286933862e-001dB,1.70570623689369e+001°)
9.54992586021430e+003	(-4.66497878684302e-001dB,1.66253292541641e+001°)
9.77237220955804e+003	(-4.43260871155760e-001dB,1.61999703855550e+001°)
9.99999999999993e+003	(-4.21015304621688e-001dB,1.57809065829793e+001°)
1.02329299228075e+004	(-3.99723522869575e-001dB,1.53680539248243e+001°)
1.04712854805089e+004	(-3.79349150983213e-001dB,1.49613240894884e+001°)
1.07151930523760e+004	(-3.59857072173368e-001dB,1.45606246825358e+001°)
1.09647819614318e+004	(-3.41213403782361e-001dB,1.41658595494201e+001°)
1.12201845430196e+004	(-3.23385472585343e-001dB,1.37769290737872e+001°)
1.14815362149688e+004	(-3.06341789507373e-001dB,1.33937304614191e+001°)
1.17489755493952e+004	(-2.90052023870338e-001dB,1.30161580099470e+001°)
1.20226443461740e+004	(-2.74486977280221e-001dB,1.26441033645260e+001°)
1.23026877081237e+004	(-2.59618557258217e-001dB,1.22774557596877e+001°)
1.25892541179416e+004	(-2.45419750715348e-001dB,1.19161022476630e+001°)
1.28824955169313e+004	(-2.31864597362779e-001dB,1.15599279134620e+001°)
1.31825673855640e+004	(-2.18928163145603e-001dB,1.12088160770715e+001°)
1.34896288259164e+004	(-2.06586513780900e-001dB,1.08626484831315e+001°)
1.38038426460288e+004	(-1.94816688475463e-001dB,1.05213054784612e+001°)
1.41253754462274e+004	(-1.83596673892608e-001dB,1.01846661778671e+001°)
1.44543977074592e+004	(-1.72905378432370e-001dB,9.85260861862506e+000°)
1.47910838816820e+004	(-1.62722606882295e-001dB,9.52500990407471e+000°)
1.51356124843620e+004	(-1.53029035493638e-001dB,9.20174633675981e+000°)
1.54881661891247e+004	(-1.43806187528990e-001dB,8.88269354154017e+000°)
1.58489319246110e+004	(-1.35036409326215e-001dB,8.56772657912397e+000°)
1.62181009735892e+004	(-1.26702846916202e-001dB,8.25672005044834e+000°)
1.65958690743755e+004	(-1.18789423229321e-001dB,7.94954819234189e+000°)
1.69824365246173e+004	(-1.11280815920552e-001dB,7.64608496489741e+000°)
1.73780082874936e+004	(-1.04162435840207e-001dB,7.34620413097095e+000°)
1.77827941003891e+004	(-9.74204061729051e-002dB,7.04977932823293e+000°)
1.81970085860997e+004	(-9.10415422648473e-002dB,6.75668413415808e+000°)
1.86208713666285e+004	(-8.50133321563453e-002dB,6.46679212436310e+000°)
1.90546071796323e+004	(-7.93239178332770e-002dB,6.17997692467835e+000°)
1.94984459975803e+004	(-7.39620772099550e-002dB,5.89611225731764e+000°)
1.99526231496887e+004	(-6.89172068518716e-002dB,5.61507198152577e+000°)
2.04173794466951e+004	(-6.41793054465867e-002dB,5.33673012904904e+000°)
2.08929613085402e+004	(-5.97389580276542e-002dB,5.06096093477464e+000°)
2.13796208950222e+004	(-5.55873209558876e-002dB,4.78763886287507e+000°)
2.18776162394954e+004	(-5.17161076603359e-002dB,4.51663862878285e+000°)
2.23872113856832e+004	(-4.81175751405363e-002dB,4.24783521729519e+000°)
2.29086765276776e+004	(-4.47845112293660e-002dB,3.98110389713287e+000°)
2.34422881531990e+004	(-4.17102226165808e-002dB,3.71632023222493e+000°)
2.39883291901947e+004	(-3.88885236306507e-002dB,3.45336009002674e+000°)
2.45470891568501e+004	(-3.63137257771274e-002dB,3.19209964712541e+000°)
2.51188643150956e+004	(-3.39806280299603e-002dB,2.93241539242258e+000°)
2.57039578276884e+004	(-3.18845078724186e-002dB,2.67418412812532e+000°)
2.63026799189536e+004	(-3.00211130844867e-002dB,2.41728296885144e+000°)
2.69153480392689e+004	(-2.83866542712160e-002dB,2.16158933902818e+000°)
2.75422870333814e+004	(-2.69777981285459e-002dB,1.90698096888651e+000°)
2.81838293126443e+004	(-2.57916614419304e-002dB,1.65333588926215e+000°)
2.88403150312658e+004	(-2.48258058117963e-002dB,1.40053242543396e+000°)
2.95120922666636e+004	(-2.40782331026881e-002dB,1.14844919024167e+000°)
3.01995172040199e+004	(-2.35473816090331e-002dB,8.96965076701051e-001°)
3.09029543251357e+004	(-2.32321229343453e-002dB,6.45959250345524e-001°)
3.16227766016835e+004	(-2.31317595767305e-002dB,3.95311141522365e-001°)
3.23593656929626e+004	(-2.32460232170391e-002dB,1.44900437856943e-001°)
3.31131121482588e+004	(-2.35750737032834e-002dB,-1.05392922895362e-001°)
3.38844156139200e+004	(-2.41194987259818e-002dB,-3.55688759359578e-001°)
3.46736850452529e+004	(-2.48803141792584e-002dB,-6.06106652219008e-001°)
3.54813389233573e+004	(-2.58589652011621e-002dB,-8.56765948824191e-001°)
3.63078054770098e+004	(-2.70573278875293e-002dB,-1.10778576649897e+000°)
3.71535229097169e+004	(-2.84777116731654e-002dB,-1.35928499430164e+000°)
3.80189396320558e+004	(-3.01228623729322e-002dB,-1.61138229302937e+000°)
3.89045144994277e+004	(-3.19959658765014e-002dB,-1.86419609320353e+000°)
3.98107170553494e+004	(-3.41006524877561e-002dB,-2.11784459079037e+000°)
4.07380277804109e+004	(-3.64410019016543e-002dB,-2.37244574041252e+000°)
4.16869383470332e+004	(-3.90215488084952e-002dB,-2.62811724579153e+000°)
4.26579518801589e+004	(-4.18472891154823e-002dB,-2.88497654713489e+000°)
4.36515832240162e+004	(-4.49236867750840e-002dB,-3.14314080522911e+000°)
4.46683592150959e+004	(-4.82566812067166e-002dB,-3.40272688192758e+000°)
4.57088189614871e+004	(-5.18526952988639e-002dB,-3.66385131674940e+000°)
4.67735141287194e+004	(-5.57186439758772e-002dB,-3.92663029930409e+000°)
4.78630092322634e+004	(-5.98619433120112e-002dB,-4.19117963722780e+000°)
4.89778819368442e+004	(-6.42905201746801e-002dB,-4.45761471930114e+000°)
5.01187233627268e+004	(-6.90128223739739e-002dB,-4.72605047344347e+000°)
5.12861383991360e+004	(-7.40378292961318e-002dB,-4.99660131925433e+000°)
5.24807460249768e+004	(-7.93750629939065e-002dB,-5.26938111471514e+000°)
5.37031796370248e+004	(-8.50345997044582e-002dB,-5.54450309678055e+000°)
5.49540873857620e+004	(-9.10270817620852e-002dB,-5.82207981539889e+000°)
5.62341325190344e+004	(-9.73637298699452e-002dB,-6.10222306070563e+000°)
5.75439937337152e+004	(-1.04056355689893e-001dB,-6.38504378290532e+000°)
5.88843655355584e+004	(-1.11117374707724e-001dB,-6.67065200456405e+000°)
6.02559586074352e+004	(-1.18559819323161e-001dB,-6.95915672484908e+000°)
6.16595001861477e+004	(-1.26397352112940e-001dB,-7.25066581538995e+000°)
6.30957344480187e+004	(-1.34644279206851e-001dB,-7.54528590731918e+000°)
6.45654229034650e+004	(-1.43315563713740e-001dB,-7.84312226916442e+000°)
6.60693448007590e+004	(-1.52426839125714e-001dB,-8.14427867512817e+000°)
6.76082975391975e+004	(-1.61994422626346e-001dB,-8.44885726346959e+000°)
6.91830970918930e+004	(-1.72035328217708e-001dB,-8.75695838453756e+000°)
7.07945784384131e+004	(-1.82567279578501e-001dB,-9.06868043812082e+000°)
7.24435960074983e+004	(-1.93608722554468e-001dB,-9.38411969979670e+000°)
7.41310241300911e+004	(-2.05178837177806e-001dB,-9.70337013589854e+000°)
7.58577575029177e+004	(-2.17297549102693e-001dB,-1.00265232068429e+001°)
7.76247116628685e+004	(-2.29985540336723e-001dB,-1.03536676585246e+001°)
7.94328234724274e+004	(-2.43264259139256e-001dB,-1.06848893015064e+001°)
8.12830516164092e+004	(-2.57155928951436e-001dB,-1.10202707778869e+001°)
8.31763771102663e+004	(-2.71683556209791e-001dB,-1.13598913155637e+001°)
8.51138038202369e+004	(-2.86870936892706e-001dB,-1.17038264698907e+001°)
8.70963589956073e+004	(-3.02742661635808e-001dB,-1.20521478526371e+001°)
8.91250938133737e+004	(-3.19324119247290e-001dB,-1.24049228482716e+001°)
9.12010839355901e+004	(-3.36641498443876e-001dB,-1.27622143176524e+001°)
9.33254300796982e+004	(-3.54721787623073e-001dB,-1.31240802893100e+001°)
9.54992586021427e+004	(-3.73592772479858e-001dB,-1.34905736386100e+001°)
9.77237220955802e+004	(-3.93283031266678e-001dB,-1.38617417550949e+001°)
9.99999999999991e+004	(-4.13821927496214e-001dB,-1.42376261985495e+001°)
1.02329299228074e+005	(-4.35239599876168e-001dB,-1.46182623443293e+001°)
1.04712854805089e+005	(-4.57566949264665e-001dB,-1.50036790186630e+001°)
1.07151930523760e+005	(-4.80835622435322e-001dB,-1.53938981248214e+001°)
1.09647819614317e+005	(-5.05077992435585e-001dB,-1.57889342610687e+001°)
1.12201845430195e+005	(-5.30327135328743e-001dB,-1.61887943315920e+001°)
1.14815362149687e+005	(-5.56616803110608e-001dB,-1.65934771516588e+001°)
1.17489755493952e+005	(-5.83981392598441e-001dB,-1.70029730484556e+001°)
1.20226443461740e+005	(-6.12455910100422e-001dB,-1.74172634592684e+001°)
1.23026877081237e+005	(-6.42075931678685e-001dB,-1.78363205286924e+001°)
1.25892541179416e+005	(-6.72877558841951e-001dB,-1.82601067069395e+001°)
1.28824955169312e+005	(-7.04897369511835e-001dB,-1.86885743512678e+001°)
1.31825673855639e+005	(-7.38172364132164e-001dB,-1.91216653328668e+001°)
1.34896288259164e+005	(-7.72739906813795e-001dB,-1.95593106516614e+001°)
1.38038426460287e+005	(-8.08637661429631e-001dB,-2.00014300615811e+001°)
1.41253754462274e+005	(-8.45903522612075e-001dB,-2.04479317091120e+001°)
1.44543977074591e+005	(-8.84575541631990e-001dB,-2.08987117879728e+001°)
1.47910838816819e+005	(-9.24691847176224e-001dB,-2.13536542128720e+001°)
1.51356124843619e+005	(-9.66290561088622e-001dB,-2.18126303155416e+001°)
1.54881661891247e+005	(-1.00940970916834e+000dB,-2.22754985660787e+001°)
1.58489319246110e+005	(-1.05408712717904e+000dB,-2.27421043228774e+001°)
1.62181009735891e+005	(-1.10036036226307e+000dB,-2.32122796143573e+001°)
1.65958690743754e+005	(-1.14826657000643e+000dB,-2.36858429556620e+001°)
1.69824365246173e+005	(-1.19784240745451e+000dB,-2.41625992035161e+001°)
1.73780082874936e+005	(-1.24912392242824e+000dB,-2.46423394522741e+001°)
1.77827941003890e+005	(-1.30214643954363e+000dB,-2.51248409740752e+001°)
1.81970085860996e+005	(-1.35694444339356e+000dB,-2.56098672058984e+001°)
1.86208713666285e+005	(-1.41355145939637e+000dB,-2.60971677860167e+001°)
1.90546071796323e+005	(-1.47199993287030e+000dB,-2.65864786421687e+001°)
1.94984459975802e+005	(-1.53232110693199e+000dB,-2.70775221333653e+001°)
1.99526231496886e+005	(-1.59454489986753e+000dB,-2.75700072470396e+001°)
2.04173794466951e+005	(-1.65869978265554e+000dB,-2.80636298527511e+001°)
2.08929613085402e+005	(-1.72481265735361e+000dB,-2.85580730132657e+001°)
2.13796208950221e+005	(-1.79290873708767e+000dB,-2.90530073534246e+001°)
2.18776162394953e+005	(-1.86301142840066e+000dB,-2.95480914867158e+001°)
2.23872113856832e+005	(-1.93514221672043e+000dB,-3.00429724988876e+001°)
2.29086765276775e+005	(-2.00932055571665e+000dB,-3.05372864875560e+001°)
2.34422881531990e+005	(-2.08556376130318e+000dB,-3.10306591561468e+001°)
2.39883291901946e+005	(-2.16388691102548e+000dB,-3.15227064600177e+001°)
2.45470891568500e+005	(-2.24430274954487e+000dB,-3.20130353020593e+001°)
2.51188643150955e+005	(-2.32682160089510e+000dB,-3.25012442746036e+001°)
2.57039578276884e+005	(-2.41145128814315e+000dB,-3.29869244439922e+001°)
2.63026799189535e+005	(-2.49819706103230e+000dB,-3.34696601737253e+001°)
2.69153480392689e+005	(-2.58706153210682e+000dB,-3.39490299815637e+001°)
2.75422870333814e+005	(-2.67804462178205e+000dB,-3.44246074259322e+001°)
2.81838293126442e+005	(-2.77114351270159e+000dB,-3.48959620162343e+001°)
2.88403150312657e+005	(-2.86635261367662e+000dB,-3.53626601417999e+001°)
2.95120922666635e+005	(-2.96366353340792e+000dB,-3.58242660139342e+001°)
3.01995172040198e+005	(-3.06306506407376e+000dB,-3.62803426151597e+001°)
3.09029543251356e+005	(-3.16454317483013e+000dB,-3.67304526502356e+001°)
3.16227766016834e+005	(-3.26808101511316e+000dB,-3.71741594929498e+001°)
3.23593656929625e+005	(-3.37365892760691e+000dB,-3.76110281233804e+001°)
