Freq.	V(output)/V(input)
5.75439937337155e+002	(1.99968539060468e+001dB,1.79028188387615e+002°)
5.88843655355587e+002	(1.99968005173378e+001dB,1.79005555860994e+002°)
6.02559586074356e+002	(1.99967446131983e+001dB,1.78982396432091e+002°)
6.16595001861481e+002	(1.99966860751472e+001dB,1.78958697847579e+002°)
6.30957344480192e+002	(1.99966247791265e+001dB,1.78934447570126e+002°)
6.45654229034654e+002	(1.99965605952382e+001dB,1.78909632771848e+002°)
6.60693448007594e+002	(1.99964933874708e+001dB,1.78884240327804e+002°)
6.76082975391980e+002	(1.99964230134112e+001dB,1.78858256808997e+002°)
6.91830970918935e+002	(1.99963493239435e+001dB,1.78831668475408e+002°)
7.07945784384136e+002	(1.99962721629348e+001dB,1.78804461269053e+002°)
7.24435960074988e+002	(1.99961913669061e+001dB,1.78776620806768e+002°)
7.41310241300916e+002	(1.99961067646850e+001dB,1.78748132372440e+002°)
7.58577575029182e+002	(1.99960181770459e+001dB,1.78718980909621e+002°)
7.76247116628690e+002	(1.99959254163318e+001dB,1.78689151013929e+002°)
7.94328234724279e+002	(1.99958282860591e+001dB,1.78658626925135e+002°)
8.12830516164097e+002	(1.99957265805005e+001dB,1.78627392518594e+002°)
8.31763771102669e+002	(1.99956200842528e+001dB,1.78595431297401e+002°)
8.51138038202374e+002	(1.99955085717837e+001dB,1.78562726383906e+002°)
8.70963589956078e+002	(1.99953918069559e+001dB,1.78529260511209e+002°)
8.91250938133743e+002	(1.99952695425276e+001dB,1.78495016013872e+002°)
9.12010839355907e+002	(1.99951415196348e+001dB,1.78459974819461e+002°)
9.33254300796988e+002	(1.99950074672435e+001dB,1.78424118439038e+002°)
9.54992586021433e+002	(1.99948671015826e+001dB,1.78387427958131e+002°)
9.77237220955808e+002	(1.99947201255427e+001dB,1.78349884026654e+002°)
9.99999999999997e+002	(1.99945662280532e+001dB,1.78311466849471e+002°)
1.02329299228075e+003	(1.99944050834291e+001dB,1.78272156176438e+002°)
1.04712854805090e+003	(1.99942363506866e+001dB,1.78231931292309e+002°)
1.07151930523760e+003	(1.99940596728241e+001dB,1.78190771006036e+002°)
1.09647819614318e+003	(1.99938746760757e+001dB,1.78148653640504e+002°)
1.12201845430196e+003	(1.99936809691237e+001dB,1.78105557021263e+002°)
1.14815362149688e+003	(1.99934781422839e+001dB,1.78061458466612e+002°)
1.17489755493953e+003	(1.99932657666362e+001dB,1.78016334774644e+002°)
1.20226443461741e+003	(1.99930433931377e+001dB,1.77970162213618e+002°)
1.23026877081238e+003	(1.99928105516713e+001dB,1.77922916508645e+002°)
1.25892541179416e+003	(1.99925667500743e+001dB,1.77874572831727e+002°)
1.28824955169313e+003	(1.99923114730944e+001dB,1.77825105787303e+002°)
1.31825673855640e+003	(1.99920441813250e+001dB,1.77774489401895e+002°)
1.34896288259165e+003	(1.99917643100697e+001dB,1.77722697110206e+002°)
1.38038426460288e+003	(1.99914712681736e+001dB,1.77669701743717e+002°)
1.41253754462275e+003	(1.99911644367803e+001dB,1.77615475516189e+002°)
1.44543977074592e+003	(1.99908431680435e+001dB,1.77559990010780e+002°)
1.47910838816820e+003	(1.99905067837898e+001dB,1.77503216167993e+002°)
1.51356124843620e+003	(1.99901545740897e+001dB,1.77445124269490e+002°)
1.54881661891248e+003	(1.99897857957970e+001dB,1.77385683926378e+002°)
1.58489319246111e+003	(1.99893996710007e+001dB,1.77324864064083e+002°)
1.62181009735892e+003	(1.99889953854063e+001dB,1.77262632907546e+002°)
1.65958690743755e+003	(1.99885720866552e+001dB,1.77198957967373e+002°)
1.69824365246174e+003	(1.99881288825613e+001dB,1.77133806025030e+002°)
1.73780082874937e+003	(1.99876648392560e+001dB,1.77067143116652e+002°)
1.77827941003892e+003	(1.99871789792778e+001dB,1.76998934519872e+002°)
1.81970085860998e+003	(1.99866702795336e+001dB,1.76929144735573e+002°)
1.86208713666286e+003	(1.99861376692128e+001dB,1.76857737474787e+002°)
1.90546071796324e+003	(1.99855800275756e+001dB,1.76784675641659e+002°)
1.94984459975804e+003	(1.99849961816479e+001dB,1.76709921316997e+002°)
1.99526231496887e+003	(1.99843849038216e+001dB,1.76633435742586e+002°)
2.04173794466952e+003	(1.99837449093395e+001dB,1.76555179304648e+002°)
2.08929613085403e+003	(1.99830748536780e+001dB,1.76475111518029e+002°)
2.13796208950222e+003	(1.99823733297877e+001dB,1.76393191007691e+002°)
2.18776162394954e+003	(1.99816388652372e+001dB,1.76309375492937e+002°)
2.23872113856833e+003	(1.99808699192270e+001dB,1.76223621770821e+002°)
2.29086765276776e+003	(1.99800648794602e+001dB,1.76135885698679e+002°)
2.34422881531991e+003	(1.99792220588641e+001dB,1.76046122175481e+002°)
2.39883291901948e+003	(1.99783396922147e+001dB,1.75954285127361e+002°)
2.45470891568502e+003	(1.99774159325503e+001dB,1.75860327487584e+002°)
2.51188643150957e+003	(1.99764488474816e+001dB,1.75764201181052e+002°)
