Freq.	V(output)/V(input)
2.88403150312659e+005	(-1.90183639118823e+001dB,1.45385085061023e+002°)
2.95120922666637e+005	(-1.89751832751385e+001dB,1.44498337051169e+002°)
3.01995172040200e+005	(-1.89303093758675e+001dB,1.43584673250796e+002°)
3.09029543251358e+005	(-1.88837022542869e+001dB,1.42642969276705e+002°)
3.16227766016836e+005	(-1.88353249862712e+001dB,1.41672035476731e+002°)
3.23593656929627e+005	(-1.87851444654857e+001dB,1.40670612761708e+002°)
3.31131121482589e+005	(-1.87331323111394e+001dB,1.39637368255046e+002°)
3.38844156139201e+005	(-1.86792659101159e+001dB,1.38570890856734e+002°)
3.46736850452530e+005	(-1.86235296205328e+001dB,1.37469686733629e+002°)
3.54813389233574e+005	(-1.85659161523954e+001dB,1.36332174813595e+002°)
3.63078054770099e+005	(-1.85064281499822e+001dB,1.35156682403698e+002°)
3.71535229097171e+005	(-1.84450799999950e+001dB,1.33941441003673e+002°)
3.80189396320559e+005	(-1.83818998941604e+001dB,1.32684582526479e+002°)
3.89045144994279e+005	(-1.83169321715030e+001dB,1.31384136094230e+002°)
3.98107170553495e+005	(-1.82502399696538e+001dB,1.30038025667749e+002°)
4.07380277804111e+005	(-1.81819082183931e+001dB,1.28644068849138e+002°)
4.16869383470333e+005	(-1.81120469963304e+001dB,1.27199977210122e+002°)
4.26579518801590e+005	(-1.80407952796474e+001dB,1.25703358654370e+002°)
4.36515832240164e+005	(-1.79683251005868e+001dB,1.24151722386356e+002°)
4.46683592150961e+005	(-1.78948461231514e+001dB,1.22542487160658e+002°)
4.57088189614873e+005	(-1.78206106296354e+001dB,1.20872993631593e+002°)
4.67735141287196e+005	(-1.77459188968846e+001dB,1.19140521754333e+002°)
4.78630092322636e+005	(-1.76711249051128e+001dB,1.17342314259024e+002°)
4.89778819368444e+005	(-1.75966422853475e+001dB,1.15475607453618e+002°)
5.01187233627270e+005	(-1.75229503806128e+001dB,1.13537670533866e+002°)
5.12861383991362e+005	(-1.74506002117020e+001dB,1.11525854779081e+002°)
5.24807460249770e+005	(-1.73802200912124e+001dB,1.09437653854794e+002°)
5.37031796370250e+005	(-1.73125205268823e+001dB,1.07270776339788e+002°)
5.49540873857621e+005	(-1.72482979870519e+001dB,1.05023231239718e+002°)
5.62341325190346e+005	(-1.71884369825359e+001dB,1.02693426720510e+002°)
5.75439937337154e+005	(-1.71339098518749e+001dB,1.00280281537878e+002°)
5.88843655355586e+005	(-1.70857735545188e+001dB,9.77833474665306e+001°)
6.02559586074354e+005	(-1.70451627563590e+001dB,9.52029397303670e+001°)
6.16595001861479e+005	(-1.70132785157318e+001dB,9.25402707292101e+001°)
6.30957344480189e+005	(-1.69913719803864e+001dB,8.97975805267927e+001°)
6.45654229034652e+005	(-1.69807227520727e+001dB,8.69782557891516e+001°)
6.60693448007592e+005	(-1.69826118720597e+001dB,8.40869272405386e+001°)
6.76082975391978e+005	(-1.69982898614797e+001dB,8.11295348169860e+001°)
6.91830970918932e+005	(-1.70289407836732e+001dB,7.81133496936547e+001°)
7.07945784384134e+005	(-1.70756438698911e+001dB,7.50469436805532e+001°)
7.24435960074986e+005	(-1.71393347984095e+001dB,7.19400992602612e+001°)
7.41310241300913e+005	(-1.72207691245878e+001dB,6.88036578345584e+001°)
7.58577575029179e+005	(-1.73204905335399e+001dB,6.56493090507444e+001°)
7.76247116628687e+005	(-1.74388064485246e+001dB,6.24893299042829e+001°)
7.94328234724276e+005	(-1.75757730826400e+001dB,5.93362877891540e+001°)
8.12830516164094e+005	(-1.77311912611436e+001dB,5.62027257543319e+001°)
8.31763771102666e+005	(-1.79046133815826e+001dB,5.31008503448943e+001°)
8.51138038202371e+005	(-1.80953608798172e+001dB,5.00422421419007e+001°)
8.70963589956075e+005	(-1.83025506544958e+001dB,4.70376063003024e+001°)
8.91250938133740e+005	(-1.85251282098506e+001dB,4.40965759574675e+001°)
9.12010839355904e+005	(-1.87619049153271e+001dB,4.12275756434974e+001°)
9.33254300796985e+005	(-1.90115967248720e+001dB,3.84377461473202e+001°)
9.54992586021430e+005	(-1.92728619514069e+001dB,3.57329271102526e+001°)
9.77237220955804e+005	(-1.95443361365679e+001dB,3.31176897709676e+001°)
9.99999999999993e+005	(-1.98246626197692e+001dB,3.05954098523067e+001°)
1.02329299228075e+006	(-2.01125179951134e+001dB,2.81683696903207e+001°)
1.04712854805089e+006	(-2.04066321519121e+001dB,2.58378788672989e+001°)
1.07151930523760e+006	(-2.07058030342556e+001dB,2.36044038639398e+001°)
1.09647819614318e+006	(-2.10089065466662e+001dB,2.14676988280857e+001°)
1.12201845430196e+006	(-2.13149022278821e+001dB,1.94269314147899e+001°)
1.14815362149688e+006	(-2.16228354024923e+001dB,1.74807994816997e+001°)
1.17489755493952e+006	(-2.19318365267979e+001dB,1.56276359433202e+001°)
1.20226443461740e+006	(-2.22411184118658e+001dB,1.38655005282692e+001°)
1.23026877081237e+006	(-2.25499719248577e+001dB,1.21922580456330e+001°)
1.25892541179416e+006	(-2.28577606831332e+001dB,1.06056436034032e+001°)
1.28824955169313e+006	(-2.31639151628793e+001dB,9.10331565438664e+000°)
1.31825673855640e+006	(-2.34679265524779e+001dB,7.68289802791867e+000°)
1.34896288259164e+006	(-2.37693406060700e+001dB,6.34201225044843e+000°)
1.38038426460288e+006	(-2.40677516816671e+001dB,5.07830146273513e+000°)
1.41253754462274e+006	(-2.43627970964567e+001dB,3.88944722748177e+000°)
1.44543977074592e+006	(-2.46541518834536e+001dB,2.77318037152714e+000°)
1.47910838816820e+006	(-2.49415240045132e+001dB,1.72728697076778e+000°)
1.51356124843620e+006	(-2.52246500452953e+001dB,7.49610397717492e-001°)
1.54881661891247e+006	(-2.55032913999787e+001dB,-1.61949735352121e-001°)
1.58489319246110e+006	(-2.57772309415572e+001dB,-1.00944101185005e+000°)
1.62181009735892e+006	(-2.60462701615585e+001dB,-1.79486342019457e+000°)
1.65958690743755e+006	(-2.63102267589252e+001dB,-2.52017580379773e+000°)
1.69824365246173e+006	(-2.65689326521178e+001dB,-3.18730310878615e+000°)
1.73780082874936e+006	(-2.68222323871958e+001dB,-3.79814401424754e+000°)
1.77827941003891e+006	(-2.70699819110487e+001dB,-4.35457866589117e+000°)
1.81970085860997e+006	(-2.73120476800835e+001dB,-4.85847617077182e+000°)
1.86208713666285e+006	(-2.75483060714386e+001dB,-5.31170164694595e+000°)
1.90546071796323e+006	(-2.77786430646814e+001dB,-5.71612260895201e+000°)
1.94984459975803e+006	(-2.80029541607501e+001dB,-6.07361450950410e+000°)
1.99526231496887e+006	(-2.82211445040913e+001dB,-6.38606529785003e+000°)
2.00000000000000e+006	(-2.82432668577631e+001dB,-6.41576472231082e+000°)
