Freq.	V(input)/I(R1)
2.13796208950222e+006	(8.26252400426984e+001dB,1.79760906170616e+002°)
2.18776162394954e+006	(8.26187281257742e+001dB,1.79761355633641e+002°)
2.23872113856833e+006	(8.26125937683577e+001dB,1.79762858281124e+002°)
2.29086765276776e+006	(8.26068188802281e+001dB,1.79765274315035e+002°)
2.34422881531991e+006	(8.26013858898322e+001dB,1.79768477769666e+002°)
2.39883291901948e+006	(8.25962777778677e+001dB,1.79772355220692e+002°)
2.45470891568502e+006	(8.25914780996325e+001dB,1.79776804619291e+002°)
2.51188643150957e+006	(8.25869709984095e+001dB,1.79781734239443e+002°)
2.57039578276885e+006	(8.25827412117237e+001dB,1.79787061727183e+002°)
2.63026799189537e+006	(8.25787740719945e+001dB,1.79792713241680e+002°)
2.69153480392690e+006	(8.25750555027928e+001dB,1.79798622678619e+002°)
2.75422870333815e+006	(8.25715720117129e+001dB,1.79804730967576e+002°)
2.81838293126444e+006	(8.25683106806356e+001dB,1.79810985435560e+002°)
2.88403150312659e+006	(8.25652591540380e+001dB,1.79817339229762e+002°)
2.95120922666637e+006	(8.25624056258492e+001dB,1.79823750793437e+002°)
3.01995172040200e+006	(8.25597388252578e+001dB,1.79830183389227e+002°)
3.09029543251358e+006	(8.25572480017852e+001dB,1.79836604665180e+002°)
3.16227766016837e+006	(8.25549229098746e+001dB,1.79842986258703e+002°)
3.23593656929627e+006	(8.25527537931848e+001dB,1.79849303435070e+002°)
3.31131121482590e+006	(8.25507313687377e+001dB,1.79855534756592e+002°)
3.38844156139201e+006	(8.25488468110296e+001dB,1.79861661779693e+002°)
3.46736850452530e+006	(8.25470917361907e+001dB,1.79867668777061e+002°)
3.54813389233574e+006	(8.25454581862579e+001dB,1.79873542482552e+002°)
3.63078054770100e+006	(8.25439386136094e+001dB,1.79879271856737e+002°)
3.71535229097171e+006	(8.25425258655897e+001dB,1.79884847871353e+002°)
3.80189396320559e+006	(8.25412131693611e+001dB,1.79890263310869e+002°)
3.89045144994279e+006	(8.25399941169928e+001dB,1.79895512589822e+002°)
3.98107170553495e+006	(8.25388626508100e+001dB,1.79900591584655e+002°)
4.07380277804111e+006	(8.25378130490082e+001dB,1.79905497478900e+002°)
4.16869383470333e+006	(8.25368399115519e+001dB,1.79910228620638e+002°)
4.26579518801591e+006	(8.25359381463579e+001dB,1.79914784391438e+002°)
4.36515832240164e+006	(8.25351029557798e+001dB,1.79919165085864e+002°)
4.46683592150961e+006	(8.25343298233959e+001dB,1.79923371800827e+002°)
4.57088189614873e+006	(8.25336145011104e+001dB,1.79927406334113e+002°)
4.67735141287196e+006	(8.25329529965785e+001dB,1.79931271091480e+002°)
4.78630092322636e+006	(8.25323415609571e+001dB,1.79934969001706e+002°)
4.89778819368444e+006	(8.25317766769946e+001dB,1.79938503439124e+002°)
5.01187233627270e+006	(8.25312550474606e+001dB,1.79941878153024e+002°)
5.12861383991362e+006	(8.25307735839272e+001dB,1.79945097203669e+002°)
5.24807460249770e+006	(8.25303293959036e+001dB,1.79948164904217e+002°)
5.37031796370250e+006	(8.25299197803298e+001dB,1.79951085768377e+002°)
5.49540873857621e+006	(8.25295422114350e+001dB,1.79953864463262e+002°)
5.62341325190346e+006	(8.25291943309608e+001dB,1.79956505767120e+002°)
5.75439937337154e+006	(8.25288739387521e+001dB,1.79959014531627e+002°)
