Freq.	V(input)/I(C1)
3.01995172040201e+003	(5.94686933294052e+001dB,-8.99997512997319e+001°)
3.09029543251359e+003	(5.92685071856100e+001dB,-8.99997454995194e+001°)
3.16227766016838e+003	(5.90683122648513e+001dB,-8.99997395636845e+001°)
3.23593656929628e+003	(5.88681081530707e+001dB,-8.99997334890311e+001°)
3.31131121482591e+003	(5.86678944166560e+001dB,-8.99997272722859e+001°)
3.38844156139202e+003	(5.84676706015158e+001dB,-8.99997209100966e+001°)
3.46736850452531e+003	(5.82674362321100e+001dB,-8.99997143990297e+001°)
3.54813389233575e+003	(5.80671908104345e+001dB,-8.99997077355684e+001°)
3.63078054770101e+003	(5.78669338149575e+001dB,-8.99997009161106e+001°)
3.71535229097172e+003	(5.76666646995046e+001dB,-8.99996939369666e+001°)
3.80189396320561e+003	(5.74663828920920e+001dB,-8.99996867943564e+001°)
3.89045144994280e+003	(5.72660877937030e+001dB,-8.99996794844080e+001°)
3.98107170553497e+003	(5.70657787770067e+001dB,-8.99996720031543e+001°)
4.07380277804112e+003	(5.68654551850157e+001dB,-8.99996643465311e+001°)
4.16869383470335e+003	(5.66651163296793e+001dB,-8.99996565103740e+001°)
4.26579518801592e+003	(5.64647614904103e+001dB,-8.99996484904159e+001°)
4.36515832240165e+003	(5.62643899125403e+001dB,-8.99996402822843e+001°)
4.46683592150962e+003	(5.60640008057028e+001dB,-8.99996318814984e+001°)
4.57088189614874e+003	(5.58635933421368e+001dB,-8.99996232834657e+001°)
4.67735141287197e+003	(5.56631666549117e+001dB,-8.99996144834794e+001°)
4.78630092322637e+003	(5.54627198360649e+001dB,-8.99996054767151e+001°)
4.89778819368445e+003	(5.52622519346516e+001dB,-8.99995962582271e+001°)
5.01187233627271e+003	(5.50617619547008e+001dB,-8.99995868229455e+001°)
5.12861383991364e+003	(5.48612488530725e+001dB,-8.99995771656722e+001°)
5.24807460249772e+003	(5.46607115372128e+001dB,-8.99995672810774e+001°)
5.37031796370252e+003	(5.44601488628004e+001dB,-8.99995571636957e+001°)
5.49540873857624e+003	(5.42595596312803e+001dB,-8.99995468079222e+001°)
5.62341325190348e+003	(5.40589425872786e+001dB,-8.99995362080084e+001°)
5.75439937337156e+003	(5.38582964158920e+001dB,-8.99995253580575e+001°)
5.88843655355588e+003	(5.36576197398473e+001dB,-8.99995142520207e+001°)
6.02559586074357e+003	(5.34569111165231e+001dB,-8.99995028836917e+001°)
6.16595001861481e+003	(5.32561690348273e+001dB,-8.99994912467026e+001°)
6.30957344480192e+003	(5.30553919119239e+001dB,-8.99994793345182e+001°)
6.45654229034654e+003	(5.28545780898003e+001dB,-8.99994671404316e+001°)
