Freq.	V(output)/V(input)
5.37031796370250e+003	(1.06283755923013e+001dB,-9.35979209472751e+001°)
5.49540873857622e+003	(1.08281672957078e+001dB,-9.36817514014997e+001°)
5.62341325190346e+003	(1.10279491504414e+001dB,-9.37675362332602e+001°)
5.75439937337154e+003	(1.12277206892711e+001dB,-9.38553210874606e+001°)
5.88843655355586e+003	(1.14274814226501e+001dB,-9.39451526807763e+001°)
6.02559586074354e+003	(1.16272308376354e+001dB,-9.40370788272156e+001°)
6.16595001861479e+003	(1.18269683967543e+001dB,-9.41311484643169e+001°)
6.30957344480190e+003	(1.20266935368138e+001dB,-9.42274116799995e+001°)
6.45654229034652e+003	(1.22264056676515e+001dB,-9.43259197400866e+001°)
6.60693448007592e+003	(1.24261041708233e+001dB,-9.44267251165177e+001°)
6.76082975391978e+003	(1.26257883982257e+001dB,-9.45298815162716e+001°)
6.91830970918932e+003	(1.28254576706487e+001dB,-9.46354439110179e+001°)
7.07945784384134e+003	(1.30251112762560e+001dB,-9.47434685675191e+001°)
7.24435960074986e+003	(1.32247484689885e+001dB,-9.48540130788040e+001°)
7.41310241300913e+003	(1.34243684668861e+001dB,-9.49671363961340e+001°)
7.58577575029179e+003	(1.36239704503256e+001dB,-9.50828988617852e+001°)
7.76247116628687e+003	(1.38235535601677e+001dB,-9.52013622426704e+001°)
7.94328234724277e+003	(1.40231168958096e+001dB,-9.53225897648241e+001°)
8.12830516164094e+003	(1.42226595131379e+001dB,-9.54466461487760e+001°)
8.31763771102666e+003	(1.44221804223759e+001dB,-9.55735976458398e+001°)
8.51138038202371e+003	(1.46216785858197e+001dB,-9.57035120753419e+001°)
8.70963589956075e+003	(1.48211529154577e+001dB,-9.58364588628195e+001°)
8.91250938133740e+003	(1.50206022704648e+001dB,-9.59725090792162e+001°)
9.12010839355904e+003	(1.52200254545674e+001dB,-9.61117354811036e+001°)
9.33254300796985e+003	(1.54194212132694e+001dB,-9.62542125519605e+001°)
9.54992586021430e+003	(1.56187882309322e+001dB,-9.64000165445398e+001°)
9.77237220955804e+003	(1.58181251277008e+001dB,-9.65492255243572e+001°)
9.99999999999993e+003	(1.60174304562666e+001dB,-9.67019194143327e+001°)
1.02329299228075e+004	(1.62167026984578e+001dB,-9.68581800406213e+001°)
1.04712854805089e+004	(1.64159402616471e+001dB,-9.70180911796674e+001°)
1.07151930523760e+004	(1.66151414749666e+001dB,-9.71817386065188e+001°)
1.09647819614318e+004	(1.68143045853181e+001dB,-9.73492101444389e+001°)
1.12201845430196e+004	(1.70134277531666e+001dB,-9.75205957158539e+001°)
1.14815362149688e+004	(1.72125090481050e+001dB,-9.76959873946763e+001°)
1.17489755493952e+004	(1.74115464441755e+001dB,-9.78754794600434e+001°)
1.20226443461740e+004	(1.76105378149333e+001dB,-9.80591684515120e+001°)
1.23026877081237e+004	(1.78094809282368e+001dB,-9.82471532257533e+001°)
1.25892541179416e+004	(1.80083734407491e+001dB,-9.84395350147884e+001°)
1.28824955169313e+004	(1.82072128921303e+001dB,-9.86364174858092e+001°)
1.31825673855640e+004	(1.84059966989048e+001dB,-9.88379068026293e+001°)
1.34896288259164e+004	(1.86047221479811e+001dB,-9.90441116888078e+001°)
1.38038426460288e+004	(1.88033863898034e+001dB,-9.92551434924928e+001°)
1.41253754462274e+004	(1.90019864311125e+001dB,-9.94711162530278e+001°)
1.44543977074592e+004	(1.92005191272895e+001dB,-9.96921467693671e+001°)
1.47910838816820e+004	(1.93989811742587e+001dB,-9.99183546703438e+001°)
1.51356124843620e+004	(1.95973690999187e+001dB,-1.00149862486835e+002°)
1.54881661891247e+004	(1.97956792550735e+001dB,-1.00386795725863e+002°)
1.58489319246110e+004	(1.99939078038307e+001dB,-1.00629282946684e+002°)
1.62181009735892e+004	(2.01920507134327e+001dB,-1.00877455838888e+002°)
1.65958690743755e+004	(2.03901037434829e+001dB,-1.01131449302557e+002°)
1.69824365246173e+004	(2.05880624345290e+001dB,-1.01391401530515e+002°)
1.73780082874936e+004	(2.07859220959608e+001dB,-1.01657454092695e+002°)
1.77827941003891e+004	(2.09836777931758e+001dB,-1.01929752022647e+002°)
1.81970085860997e+004	(2.11813243339673e+001dB,-1.02208443906209e+002°)
1.86208713666285e+004	(2.13788562540800e+001dB,-1.02493681972351e+002°)
1.90546071796323e+004	(2.15762678018806e+001dB,-1.02785622186195e+002°)
