Freq.	V(output)/V(input)
1.17489755493953e-007	(1.10235667120211e+002dB,1.79998614451233e+002°)
1.20226443461741e-007	(1.10235667120092e+002dB,1.79998582177657e+002°)
1.23026877081238e-007	(1.10235667119966e+002dB,1.79998549152332e+002°)
1.25892541179416e-007	(1.10235667119835e+002dB,1.79998515357748e+002°)
1.28824955169313e-007	(1.10235667119698e+002dB,1.79998480775988e+002°)
1.31825673855640e-007	(1.10235667119554e+002dB,1.79998445388715e+002°)
1.34896288259165e-007	(1.10235667119403e+002dB,1.79998409177166e+002°)
1.38038426460288e-007	(1.10235667119245e+002dB,1.79998372122142e+002°)
1.41253754462275e-007	(1.10235667119080e+002dB,1.79998334203996e+002°)
1.44543977074592e-007	(1.10235667118907e+002dB,1.79998295402622e+002°)
1.47910838816820e-007	(1.10235667118726e+002dB,1.79998255697449e+002°)
1.51356124843620e-007	(1.10235667118536e+002dB,1.79998215067423e+002°)
1.54881661891248e-007	(1.10235667118338e+002dB,1.79998173491002e+002°)
1.58489319246111e-007	(1.10235667118130e+002dB,1.79998130946142e+002°)
1.62181009735892e-007	(1.10235667117912e+002dB,1.79998087410285e+002°)
1.65958690743755e-007	(1.10235667117684e+002dB,1.79998042860348e+002°)
1.69824365246174e-007	(1.10235667117445e+002dB,1.79997997272709e+002°)
1.73780082874937e-007	(1.10235667117195e+002dB,1.79997950623198e+002°)
1.77827941003892e-007	(1.10235667116933e+002dB,1.79997902887080e+002°)
1.81970085860998e-007	(1.10235667116659e+002dB,1.79997854039045e+002°)
1.86208713666286e-007	(1.10235667116372e+002dB,1.79997804053193e+002°)
1.90546071796324e-007	(1.10235667116071e+002dB,1.79997752903021e+002°)
1.94984459975804e-007	(1.10235667115756e+002dB,1.79997700561408e+002°)
1.99526231496887e-007	(1.10235667115427e+002dB,1.79997647000603e+002°)
2.04173794466952e-007	(1.10235667115081e+002dB,1.79997592192206e+002°)
2.08929613085403e-007	(1.10235667114720e+002dB,1.79997536107158e+002°)
2.13796208950222e-007	(1.10235667114341e+002dB,1.79997478715721e+002°)
2.18776162394954e-007	(1.10235667113945e+002dB,1.79997419987466e+002°)
2.23872113856833e-007	(1.10235667113530e+002dB,1.79997359891254e+002°)
2.29086765276776e-007	(1.10235667113095e+002dB,1.79997298395221e+002°)
2.34422881531991e-007	(1.10235667112640e+002dB,1.79997235466762e+002°)
2.39883291901948e-007	(1.10235667112164e+002dB,1.79997171072511e+002°)
2.45470891568502e-007	(1.10235667111665e+002dB,1.79997105178325e+002°)
