Freq.,Vout.,Phase.
6.29462705897085e+004,1.66479980386991e+001,-9.32363436937128e+001
7.92446596230558e+004,1.44727640568509e+001,-1.02564378957875e+002
9.97631157484442e+004,1.20659069331957e+001,-1.11926528885894e+002
1.25594321575479e+005,9.41316471568932e+000,-1.21241737596726e+002
1.58113883008419e+005,6.50584773718949e+000,-1.30334481456434e+002
1.99053585276749e+005,3.35082263488395e+000,-1.38975338295295e+002
2.50593616813637e+005,-2.65944308247205e-002,-1.46956882412505e+002
3.15478672240097e+005,-3.58811065359742e+000,-1.54159163194615e+002
3.97164117362142e+005,-7.29187924584543e+000,-1.60573081547892e+002
5.00000000000000e+005,-1.11004328640938e+001,-1.66284910501884e+002
Step,Information:,Run=5,Run:,5/100
5.00000000000000e+000,-4.46393490350510e+000,-1.52006970669215e+002
6.29462705897084e+000,7.98201463870257e-001,-1.63079227248308e+002
7.92446596230557e+000,5.73216924785480e+000,-1.76740135425258e+002
9.97631157484440e+000,1.02170559650114e+001,1.67204342201159e+002
1.25594321575479e+001,1.41348772546973e+001,1.49261334829196e+002
1.58113883008419e+001,1.73988887036713e+001,1.30261484399733e+002
1.99053585276749e+001,1.99810562937166e+001,1.11232844193855e+002
2.50593616813636e+001,2.19217573055687e+001,9.31697177183737e+001
3.15478672240097e+001,2.33146993743083e+001,7.68157575117625e+001
3.97164117362141e+001,2.42773436775632e+001,6.25678235629146e+001
5.00000000000000e+001,2.49236744423929e+001,5.05098003550747e+001
6.29462705897084e+001,2.53486998836908e+001,4.05128991843828e+001
7.92446596230557e+001,2.56242146423032e+001,3.23381148916163e+001
9.97631157484440e+001,2.58010999735646e+001,2.57104190380178e+001
1.25594321575479e+002,2.59139384871684e+001,2.03618455969347e+001
1.58113883008419e+002,2.59856061567354e+001,1.60517207532784e+001
1.99053585276749e+002,2.60309706794837e+001,1.25731620930294e+001
2.50593616813636e+002,2.60595812105086e+001,9.75244322273461e+000
3.15478672240097e+002,2.60775158721881e+001,7.44518083699543e+000
3.97164117362141e+002,2.60886068738436e+001,5.53144998273907e+000
5.00000000000000e+002,2.60952326804068e+001,3.91083088988177e+000
6.29462705897084e+002,2.60988173889087e+001,2.49779343616599e+000
7.92446596230557e+002,2.61001326114816e+001,1.21752353510024e+000
9.97631157484441e+002,2.60994620794796e+001,2.15409933796384e-003
1.25594321575479e+003,2.60966627407465e+001,-1.21269486220487e+000
1.58113883008419e+003,2.60911354032882e+001,-2.49117556381105e+000
1.99053585276749e+003,2.60816999525021e+001,-3.90036233822358e+000
2.50593616813636e+003,2.60663522637606e+001,-5.51333207691485e+000
3.15478672240097e+003,2.60418605903165e+001,-7.41210914805850e+000
3.97164117362141e+003,2.60031393414855e+001,-9.69020448052644e+000
5.00000000000001e+003,2.59423248656412e+001,-1.24541063372436e+001
6.29462705897085e+003,2.58474921965481e+001,-1.58224577021306e+001
7.92446596230558e+003,2.57010412834876e+001,-1.99207664111419e+001
9.97631157484441e+003,2.54780279732219e+001,-2.48686340875655e+001
1.25594321575479e+004,2.51451976315859e+001,-3.07567529239728e+001
1.58113883008419e+004,2.46621002753255e+001,-3.76145809625924e+001
1.99053585276749e+004,2.39858188867966e+001,-4.53787518483087e+001
2.50593616813637e+004,2.30793932160723e+001,-5.38834458905849e+001
3.15478672240097e+004,2.19206938558184e+001,-6.28931817225688e+001
3.97164117362142e+004,2.05060335285541e+001,-7.21732093046771e+001
5.00000000000001e+004,1.88451728444740e+001,-8.15590398514915e+001
6.29462705897085e+004,1.69505209895175e+001,-9.09819802464229e+001
7.92446596230558e+004,1.48271627958538e+001,-1.00438264678123e+002
9.97631157484442e+004,1.24691298192285e+001,-1.09923139530245e+002
1.25594321575479e+005,9.86370028052391e+000,-1.19366516273937e+002
1.58113883008419e+005,7.00164235050608e+000,-1.28606280820370e+002
1.99053585276749e+005,3.88775430052848e+000,-1.37418624900159e+002
2.50593616813637e+005,5.45168866920336e-001,-1.45590076788073e+002
3.15478672240097e+005,-2.98892184564704e+000,-1.52986976221002e+002
3.97164117362142e+005,-6.67241883105887e+000,-1.59585918523735e+002
5.00000000000000e+005,-1.04667103199706e+001,-1.65463017698549e+002
Step,Information:,Run=6,Run:,6/100
5.00000000000000e+000,-3.10643479539547e+000,-1.53663729072382e+002
6.29462705897084e+000,2.10813146188881e+000,-1.65187523403125e+002
7.92446596230557e+000,6.97455747740384e+000,-1.79283413890446e+002
9.97631157484440e+000,1.13709138149370e+001,1.64290413512017e+002
1.25594321575479e+001,1.51824217664444e+001,1.46098356838204e+002
1.58113883008419e+001,1.83307138991654e+001,1.27016878169737e+002
1.99053585276749e+001,2.07993932278680e+001,1.08085411996601e+002
2.50593616813636e+001,2.26395380742485e+001,9.02681697750763e+001
3.15478672240097e+001,2.39510685190669e+001,7.42524936181933e+001
3.97164117362141e+001,2.48524797538939e+001,6.03769316149931e+001
5.00000000000000e+001,2.54552591490467e+001,4.86815595414215e+001
6.29462705897084e+001,2.58505273063974e+001,3.90123213441358e+001
7.92446596230557e+001,2.61062634168571e+001,3.11198453032577e+001
9.97631157484440e+001,2.62702426257395e+001,2.47280679398442e+001
1.25594321575479e+002,2.63747602918293e+001,1.95727627745958e+001
1.58113883008419e+002,2.64411044579090e+001,1.54188598956474e+001
1.99053585276749e+002,2.64830791502508e+001,1.20653576418262e+001
2.50593616813636e+002,2.65095364922489e+001,9.34393802678840e+000
3.15478672240097e+002,2.65261038099091e+001,7.11486934028996e+000
3.97164117362141e+002,2.65363237765511e+001,5.26206894702812e+000
5.00000000000000e+002,2.65423890886614e+001,3.68820005622461e+000
6.29462705897084e+002,2.65456037622909e+001,2.31014166400723e+000
7.92446596230557e+002,2.65466599111009e+001,1.05490378459408e+000
9.97631157484441e+002,2.65457855291945e+001,-1.44063482750269e-001
1.25594321575479e+003,2.65427937242784e+001,-1.35026755271069e+000
1.58113883008419e+003,2.65370440440510e+001,-2.62738669658815e+000
