v3	V(vo)
-9.400000000000020e+000	1.349585e+001
-9.300000000000020e+000	1.349584e+001
-9.200000000000021e+000	1.349583e+001
-9.100000000000021e+000	1.349582e+001
-9.000000000000021e+000	1.349582e+001
-8.900000000000022e+000	1.349581e+001
-8.800000000000022e+000	1.349580e+001
-8.700000000000022e+000	1.349580e+001
-8.600000000000023e+000	1.349579e+001
-8.500000000000023e+000	1.349578e+001
-8.400000000000023e+000	1.349578e+001
-8.300000000000024e+000	1.349577e+001
-8.200000000000024e+000	1.349576e+001
-8.100000000000025e+000	1.349576e+001
-8.000000000000025e+000	1.349575e+001
-7.900000000000025e+000	1.349574e+001
-7.800000000000026e+000	1.349574e+001
-7.700000000000026e+000	1.349573e+001
-7.600000000000026e+000	1.349572e+001
-7.500000000000027e+000	1.349571e+001
-7.400000000000027e+000	1.349571e+001
-7.300000000000027e+000	1.349570e+001
-7.200000000000028e+000	1.349569e+001
-7.100000000000028e+000	1.349569e+001
-7.000000000000028e+000	1.349568e+001
-6.900000000000029e+000	1.349567e+001
-6.800000000000029e+000	1.349567e+001
-6.700000000000030e+000	1.349566e+001
-6.600000000000030e+000	1.349565e+001
-6.500000000000030e+000	1.349564e+001
-6.400000000000031e+000	1.349564e+001
-6.300000000000031e+000	1.349563e+001
-6.200000000000031e+000	1.349562e+001
-6.100000000000032e+000	1.349562e+001
-6.000000000000032e+000	1.349561e+001
-5.900000000000032e+000	1.349560e+001
-5.800000000000033e+000	1.349560e+001
-5.700000000000033e+000	1.349559e+001
-5.600000000000033e+000	1.349558e+001
-5.500000000000034e+000	1.349557e+001
-5.400000000000034e+000	1.349557e+001
-5.300000000000035e+000	1.349556e+001
-5.200000000000035e+000	1.349555e+001
-5.100000000000035e+000	1.349555e+001
-5.000000000000036e+000	1.349554e+001
-4.900000000000036e+000	1.349553e+001
-4.800000000000036e+000	1.349553e+001
-4.700000000000037e+000	1.349552e+001
-4.600000000000037e+000	1.349551e+001
-4.500000000000037e+000	1.349550e+001
-4.400000000000038e+000	1.349550e+001
-4.300000000000038e+000	1.349549e+001
-4.200000000000038e+000	1.349548e+001
-4.100000000000039e+000	1.349548e+001
-4.000000000000039e+000	1.349547e+001
-3.900000000000039e+000	1.349546e+001
-3.800000000000039e+000	1.349546e+001
-3.700000000000039e+000	1.349545e+001
-3.600000000000039e+000	1.349544e+001
-3.500000000000039e+000	1.349543e+001
-3.400000000000039e+000	1.349543e+001
-3.300000000000039e+000	1.349542e+001
-3.200000000000038e+000	1.349541e+001
-3.100000000000038e+000	1.349541e+001
-3.000000000000038e+000	1.349540e+001
-2.900000000000038e+000	1.349539e+001
-2.800000000000038e+000	1.349539e+001
-2.700000000000038e+000	1.349538e+001
-2.600000000000038e+000	1.349537e+001
-2.500000000000038e+000	1.349536e+001
-2.400000000000038e+000	1.349536e+001
-2.300000000000038e+000	1.349535e+001
-2.200000000000038e+000	1.349534e+001
-2.100000000000037e+000	1.349534e+001
-2.000000000000037e+000	1.349533e+001
-1.900000000000037e+000	1.349532e+001
-1.800000000000037e+000	1.349528e+001
-1.700000000000037e+000	1.349507e+001
-1.600000000000037e+000	1.349390e+001
-1.500000000000037e+000	1.348803e+001
-1.400000000000037e+000	1.346514e+001
-1.300000000000037e+000	1.299624e+001
-1.200000000000037e+000	1.199645e+001
-1.100000000000037e+000	1.099667e+001
-1.000000000000036e+000	9.996884e+000
-9.000000000000364e-001	8.997102e+000
-8.000000000000365e-001	7.997318e+000
-7.000000000000365e-001	6.997535e+000
-6.000000000000365e-001	5.997752e+000
-5.000000000000365e-001	4.997969e+000
-4.000000000000366e-001	3.998186e+000
-3.000000000000366e-001	2.998403e+000
-2.000000000000366e-001	1.998620e+000
-1.000000000000366e-001	9.988372e-001
-3.655409308578328e-014	-9.457726e-004
9.999999999996345e-002	-1.000729e+000
1.999999999999635e-001	-2.000512e+000
2.999999999999635e-001	-3.000295e+000
3.999999999999635e-001	-4.000078e+000
4.999999999999635e-001	-4.999861e+000
5.999999999999635e-001	-5.999644e+000
6.999999999999634e-001	-6.999427e+000
7.999999999999634e-001	-7.999210e+000
