v3	V(vo)
-1.800000000000037e+000	-2.901928e+000
-1.700000000000037e+000	-2.740713e+000
-1.600000000000037e+000	-2.579497e+000
-1.500000000000037e+000	-2.418282e+000
-1.400000000000037e+000	-2.257067e+000
-1.300000000000037e+000	-2.095851e+000
-1.200000000000037e+000	-1.934636e+000
-1.100000000000037e+000	-1.773421e+000
-1.000000000000036e+000	-1.612205e+000
-9.000000000000364e-001	-1.450990e+000
-8.000000000000365e-001	-1.289775e+000
-7.000000000000365e-001	-1.128559e+000
-6.000000000000365e-001	-9.673442e-001
-5.000000000000365e-001	-8.061290e-001
-4.000000000000366e-001	-6.449137e-001
-3.000000000000366e-001	-4.836984e-001
-2.000000000000366e-001	-3.224832e-001
-1.000000000000366e-001	-1.612679e-001
-3.655409308578328e-014	-5.269829e-005
9.999999999996345e-002	1.611625e-001
