v3	V(vo)
-6.800000000000029e+000	-1.499591e+001
-6.700000000000030e+000	-1.499590e+001
-6.600000000000030e+000	-1.499589e+001
-6.500000000000030e+000	-1.499588e+001
-6.400000000000031e+000	-1.499587e+001
-6.300000000000031e+000	-1.499586e+001
-6.200000000000031e+000	-1.499585e+001
-6.100000000000032e+000	-1.499584e+001
-6.000000000000032e+000	-1.499584e+001
-5.900000000000032e+000	-1.499583e+001
-5.800000000000033e+000	-1.499582e+001
-5.700000000000033e+000	-1.499581e+001
-5.600000000000033e+000	-1.499580e+001
-5.500000000000034e+000	-1.499579e+001
-5.400000000000034e+000	-1.499578e+001
-5.300000000000035e+000	-1.499577e+001
-5.200000000000035e+000	-1.499576e+001
-5.100000000000035e+000	-1.499576e+001
-5.000000000000036e+000	-1.499575e+001
-4.900000000000036e+000	-1.499574e+001
-4.800000000000036e+000	-1.499573e+001
-4.700000000000037e+000	-1.499572e+001
-4.600000000000037e+000	-1.499571e+001
-4.500000000000037e+000	-1.499570e+001
-4.400000000000038e+000	-1.499569e+001
-4.300000000000038e+000	-1.499569e+001
-4.200000000000038e+000	-1.499568e+001
-4.100000000000039e+000	-1.499567e+001
-4.000000000000039e+000	-1.499566e+001
-3.900000000000039e+000	-1.499565e+001
-3.800000000000039e+000	-1.499564e+001
-3.700000000000039e+000	-1.499563e+001
-3.600000000000039e+000	-1.499562e+001
-3.500000000000039e+000	-1.499561e+001
-3.400000000000039e+000	-1.499561e+001
-3.300000000000039e+000	-1.499560e+001
-3.200000000000038e+000	-1.499559e+001
-3.100000000000038e+000	-1.499558e+001
-3.000000000000038e+000	-1.499557e+001
-2.900000000000038e+000	-1.499556e+001
-2.800000000000038e+000	-1.499555e+001
-2.700000000000038e+000	-1.499554e+001
-2.600000000000038e+000	-1.499553e+001
-2.500000000000038e+000	-1.499553e+001
-2.400000000000038e+000	-1.499552e+001
-2.300000000000038e+000	-1.499551e+001
-2.200000000000038e+000	-1.499550e+001
-2.100000000000037e+000	-1.499549e+001
-2.000000000000037e+000	-1.499547e+001
-1.900000000000037e+000	-1.499525e+001
-1.800000000000037e+000	-1.499117e+001
-1.700000000000037e+000	-1.494551e+001
-1.600000000000037e+000	-1.418619e+001
-1.500000000000037e+000	-1.329944e+001
-1.400000000000037e+000	-1.241283e+001
-1.300000000000037e+000	-1.152623e+001
-1.200000000000037e+000	-1.063963e+001
-1.100000000000037e+000	-9.753025e+000
-1.000000000000036e+000	-8.866422e+000
-9.000000000000364e-001	-7.979819e+000
-8.000000000000365e-001	-7.093216e+000
-7.000000000000365e-001	-6.206614e+000
-6.000000000000365e-001	-5.320011e+000
-5.000000000000365e-001	-4.433409e+000
-4.000000000000366e-001	-3.546806e+000
-3.000000000000366e-001	-2.660204e+000
-2.000000000000366e-001	-1.773602e+000
-1.000000000000366e-001	-8.869995e-001
-3.655409308578328e-014	-3.974471e-004
9.999999999996345e-002	8.862045e-001
1.999999999999635e-001	1.772807e+000
2.999999999999635e-001	2.659408e+000
3.999999999999635e-001	3.546010e+000
4.999999999999635e-001	4.432612e+000
5.999999999999635e-001	5.319213e+000
6.999999999999634e-001	6.205815e+000
