Freq.	V(out)
Step Information: Run=1  (Run: 1/100)
5.00000000000000e+005	(-1.04329014633622e+001dB,-1.68438398361781e+002°)
Step Information: Run=2  (Run: 2/100)
5.00000000000000e+000	(-5.86767086126463e+000dB,-1.49803916561624e+002°)
6.29462705897084e+000	(-5.46392537920214e-001dB,-1.60289655300964e+002°)
7.92446596230557e+000	(4.47248463725138e+000dB,-1.73369838923727e+002°)
9.97631157484440e+000	(9.07050356507804e+000dB,1.71090004880211e+002°)
1.25594321575479e+001	(1.31270710638714e+001dB,1.53520132544289e+002°)
1.58113883008419e+001	(1.65458354833601e+001dB,1.34681753818895e+002°)
1.99053585276749e+001	(1.92837065905077e+001dB,1.15573517569037e+002°)
2.50593616813636e+001	(2.13657574644410e+001dB,9.72170447735070e+001°)
3.15478672240097e+001	(2.28755590164080e+001dB,8.04260518604263e+001°)
3.97164117362141e+001	(2.39275713209072e+001dB,6.56780697416479e+001°)
5.00000000000000e+001	(2.46382534992617e+001dB,5.31220475717803e+001°)
6.29462705897084e+001	(2.51076332952921e+001dB,4.26693266636594e+001°)
7.92446596230557e+001	(2.54128053172812e+001dB,3.40992553785842e+001°)
9.97631157484440e+001	(2.56091215507118e+001dB,2.71407880231900e+001°)
1.25594321575479e+002	(2.57345240691792e+001dB,2.15222389772726e+001°)
1.58113883008419e+002	(2.58142503587370e+001dB,1.69959915677578e+001°)
1.99053585276749e+002	(2.58647632398938e+001dB,1.33475381821310e+001°)
2.50593616813636e+002	(2.58966644253244e+001dB,1.03961032132179e+001°)
3.15478672240097e+002	(2.59167186246542e+001dB,7.99135968212572e+000°)
3.97164117362141e+002	(2.59292060247319e+001dB,6.00870477863513e+000°)
5.00000000000000e+002	(2.59368026720748e+001dB,4.34430333553381e+000°)
6.29462705897084e+002	(2.59411406428137e+001dB,2.91041412894183e+000°)
7.92446596230557e+002	(2.59431533947028e+001dB,1.63115741117585e+000°)
9.97631157484441e+002	(2.59432746298111e+001dB,4.38711104329285e-001°)
1.25594321575479e+003	(2.59415312270672e+001dB,-7.30151087399261e-001°)
1.58113883008419e+003	(2.59375496866863e+001dB,-1.93729039094884e+000°)
1.99053585276749e+003	(2.59304780541333e+001dB,-3.24630777711364e+000°)
2.50593616813636e+003	(2.59188087477900e+001dB,-4.72559644203565e+000°)
3.15478672240097e+003	(2.59000700134680e+001dB,-6.45134552759033e+000°)
3.97164117362141e+003	(2.58703341605409e+001dB,-8.51035998872032e+000°)
5.00000000000001e+003	(2.58234721321803e+001dB,-1.10022996966513e+001°)
6.29462705897085e+003	(2.57500778361745e+001dB,-1.40404767149010e+001°)
7.92446596230558e+003	(2.56360220911846e+001dB,-1.77496108108364e+001°)
9.97631157484441e+003	(2.54607365791865e+001dB,-2.22579951654400e+001°)
1.25594321575479e+004	(2.51956631443335e+001dB,-2.76809117815828e+001°)
1.58113883008419e+004	(2.48038726147187e+001dB,-3.40934225904136e+001°)
1.99053585276749e+004	(2.42423997576180e+001dB,-4.14963957546802e+001°)
2.50593616813637e+004	(2.34684875084524e+001dB,-4.97905093558583e+001°)
3.15478672240097e+004	(2.24486309744136e+001dB,-5.87813818084430e+001°)
3.97164117362142e+004	(2.11658386357401e+001dB,-6.82286204573891e+001°)
5.00000000000001e+004	(1.96197354927293e+001dB,-7.79187802705013e+001°)
6.29462705897085e+004	(1.78186792679036e+001dB,-8.77165163305503e+001°)
7.92446596230558e+004	(1.57691318418730e+001dB,-9.75610571563380e+001°)
9.97631157484442e+004	(1.34692465217168e+001dB,-1.07413869766957e+002°)
1.25594321575479e+005	(1.09105489801748e+001dB,-1.17193256389252e+002°)
1.58113883008419e+005	(8.08671141108487e+000dB,-1.26738584338989e+002°)
1.99053585276749e+005	(5.00392540996200e+000dB,-1.35830565774786e+002°)
2.50593616813637e+005	(1.68589451341381e+000dB,-1.44257369850276e+002°)
3.15478672240097e+005	(-1.82965579565149e+000dB,-1.51883697290282e+002°)
3.97164117362142e+005	(-5.49978415196421e+000dB,-1.58683790841614e+002°)
5.00000000000000e+005	(-9.28481289357225e+000dB,-1.64732906050022e+002°)
Step Information: Run=3  (Run: 3/100)
5.00000000000000e+000	(-4.06268639635093e+000dB,-1.52413368077857e+002°)
6.29462705897084e+000	(1.17307294654917e+000dB,-1.63688564124304e+002°)
7.92446596230557e+000	(6.07169310527153e+000dB,-1.77492528602337e+002°)
9.97631157484440e+000	(1.05156160875411e+001dB,1.66395028865744e+002°)
1.25594321575479e+001	(1.43931371217745e+001dB,1.48495413817587e+002°)
